Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
496824, 1, 0
822514504, 49, 0
822533220, 9, 0
822550900, 0, 0
822568572, 0, 0
829, 1
822461460, 9, 4
822479148, 9, 0
822496824, 1, 0
822514504, 49, 0
822533220, 9, 0
822550900, 0, 0
822568572, 0, 0
8251612, 11025, 9604
53856, 10000, 3844
56120, 625, 196
58264, 25, 121
61716, 196, 441
79392, 961, 49
96028, 1, 9
109540, 64, 169
127244, 196, 0
143876, 1, 25
159480, 169, 0
176120, 169, 1
192752, 16, 100
210436, 9, 1
224996, 25, 49
241628, 196, 4
258284, 81, 9
273876, 36, 4
289472, 9, 1
304032, 144, 4
320696, 81, 1
336276, 36, 36
352912, 49, 1
368512, 36, 4
384124, 81, 25
400756, 16, 16
417400, 4, 9
431940, 484, 9
448596, 1849, 49
467320, 121, 4
483952, 81, 49
500596, 81, 0
516196, 144, 1
532844, 25, 9
548432, 1, 4
562992, 169, 25
580680, 784, 9
597312, 289, 49
614996, 4, 25
630588, 9, 4
645164, 196, 0
661804, 169, 0
678440, 16, 4
694028, 16, 1
709628, 9, 0
724200, 4, 0
738752, 9, 0
753320, 9, 1
767880, 4, 0
782448, 25, 4
798040, 4, 1
812596, 9, 4
827152, 1, 0
841700, 9, 4
856272, 1, 1
870828, 4, 36
886436, 1, 25
902036, 4, 0
916596, 9, 4
931156, 0, 16
946756, 25, 64
963396, 25, 4
978996, 0, 4
993568, 4, 9
1008128, 1, 16
1024768, 1, 0
1040348, 1, 0
1055956, 1, 1
1071556, 4, 1
1087160, 4, 4
1102756, 4, 9
1118364, 16, 1
1135000, 16, 9
1151640, 36, 1
1168276, 1, 1
1183884, 49, 0
1200520, 1, 0
1216108, 121, 25
1234828, 324, 16
1253556, 121, 1
1271236, 25, 0
1287884, 49, 1
1304508, 36, 0
1321160, 121, 16
1339872, 0, 1
1355472, 576, 25
1374176, 1369, 64
1393952, 256, 49
1412668, 1369, 25
1432424, 4900, 81
1452204, 81, 64
1469864, 2304, 25
1489608, 2209, 4
1508324, 3969, 676
1529144, 0, 1
1544748, 0, 25
1561380, 27889, 3844
1584272, 4, 36
1600916, 121, 625
1620684, 900, 729
1640432, 324, 25
1659156, 81, 324
1677868, 289, 144
1697636, 9, 25
1714256, 0, 36
1730888, 29929, 2916
1753768, 324, 576
1773528, 289, 576
1793296, 576, 225
1813052, 64, 9
1829688, 64, 81
1847384, 121, 36
1866096, 0, 16
1882744, 0, 324
1900420, 32041, 3481
1923316, 1444, 361
1944096, 24336, 196
1965928, 5625, 2601
1987784, 841, 4
2005452, 196, 484
2025208, 900, 784
2044968, 289, 25
2063704, 36, 225
2082416, 21904, 576
2104236, 22673, 4225
2127124, 17956, 1849
2150012, 100, 1
2167684, 289, 256
2187460, 16, 49
2205128, 144, 196
2224888, 196, 49
2243620, 4, 81
2260268, 0, 1024
2278972, 0, 3721
2297708, 25, 9
2314356, 0, 196
2332044, 529, 625
2351788, 0, 36
2368396, 25600, 1681
2391296, 1444, 625
2412100, 3249, 196
2432896, 25281, 4
2452672, 20164, 2025
2475556, 169, 225
2495308, 144, 441
2515080, 484, 289
2534828, 144, 4
2552508, 25, 100
2571204, 0, 841
2588888, 32761, 3844
2611784, 0, 144
2629456, 24164, 9025
2652352, 0, 4761
2671060, 22500, 4900
2693948, 1225, 1089
2715792, 289, 289
2735552, 121, 1
2753228, 4, 4
2768800, 0, 900
2786488, 30976, 4489
2809364, 64, 100
2828088, 25, 324
2846816, 784, 676
2866564, 361, 36
2885304, 9, 81
2901928, 324, 289
2921704, 36, 36
2939380, 0, 169
2957060, 28900, 3364
2979952, 256, 576
2999716, 324, 289
3019472, 784, 729
3039228, 36, 1
3055872, 81, 289
3074596, 144, 49
3093312, 0, 16
3109936, 0, 81
3126572, 32041, 2704
3149460, 289, 625
3169204, 121, 324
3188964, 484, 256
3208740, 100, 16
3227456, 16, 0
3244100, 144, 100
3263868, 1, 1
3279464, 0, 225
3297148, 31684, 3364
3320028, 0, 0
3335640, 9553, 10000
3358496, 0, 2500
3377236, 324, 16
3395952, 484, 169
3415708, 25, 16
3433384, 289, 400
3453156, 256, 25
3471868, 25, 196
3490588, 289, 144
3510356, 49, 0
3526968, 0, 100
3544636, 28561, 3969
3567524, 225, 400
3587296, 225, 676
3607056, 625, 256
3626808, 81, 0
3643456, 100, 100
3663220, 144, 64
3681928, 1, 36
3698568, 49, 16
3716268, 0, 576
3733940, 0, 2500
3752664, 400, 289
3772440, 36, 121
3791156, 256, 256
3810920, 144, 49
3829640, 0, 49
3846244, 0, 1024
3864968, 0, 3364
3883696, 100, 100
3903456, 1, 100
3921136, 576, 625
3940880, 400, 196
3960652, 0, 169
3978336, 225, 289
3998100, 81, 0
4014740, 0, 121
4032412, 28900, 3969
4055312, 196, 529
4075072, 256, 484
4094840, 676, 361
4114604, 64, 0
4131232, 36, 196
4149948, 225, 81
4168664, 4, 64
4185300, 0, 256
4202968, 31684, 3364
4225844, 0, 16
4242492, 0, 8836
4261208, 27556, 2209
4284084, 196, 9
4301776, 400, 144
4321528, 16, 25
4339216, 225, 289
4358972, 169, 16
4377704, 16, 144
4396428, 256, 169
4416180, 25, 1
4432820, 0, 64
4449472, 29584, 3721
4472356, 225, 484
4492116, 225, 484
4511880, 676, 441
4531636, 100, 1
4549312, 81, 196
4568020, 169, 49
4586760, 0, 36
4603368, 0, 225
4621040, 31329, 2809
4643944, 3136, 256
4664728, 26569, 144
4686584, 16384, 4096
4709472, 0, 100
4727156, 529, 1024
4747960, 900, 529
4767716, 169, 0
4785392, 100, 256
4805156, 169, 36
4823872, 0, 49
4840496, 0, 144
4858168, 30276, 3364
4881048, 400, 729
4900800, 225, 484
4920572, 484, 196
4940332, 64, 0
4956972, 49, 121
4975696, 81, 25
4993380, 0, 9
5008980, 0, 361
5026664, 31329, 3249
5049556, 324, 256
5069308, 169, 529
5089076, 289, 225
5108840, 225, 16
5127556, 49, 121
5146268, 121, 36
5164984, 9, 9
5180576, 0, 324
5198240, 31329, 2809
5221132, 256, 289
5240896, 196, 324
5260640, 529, 400
5280404, 100, 0
5298092, 36, 100
5316828, 144, 81
5335532, 1, 36
5352164, 25, 16
5369872, 0, 625
5387548, 0, 3025
5406264, 441, 441
5426032, 36, 144
5444756, 324, 289
5464520, 144, 64
5483232, 1, 144
5500900, 81, 81
5518576, 0, 529
5536244, 32041, 4096
5559140, 81, 121
5577856, 64, 484
5596564, 729, 625
5616324, 324, 36
5635060, 36, 169
5653776, 289, 196
5673540, 25, 4
5690176, 1369, 81
5709956, 289, 16
5728664, 14641, 289
5750492, 0, 2809
5769244, 2884, 8836
5791052, 0, 6561
5809764, 21904, 4096
5832644, 289, 144
5852428, 0, 36
5869056, 16900, 0
5888812, 2500, 1296
5910644, 0, 169
5928364, 0, 6724
5947060, 0, 2916
5965780, 361, 36
5984516, 169, 16
6003244, 16, 100
6021956, 289, 225
6041720, 100, 1
6059392, 25, 169
6078108, 225, 100
6097856, 1681, 1
6116572, 19321, 36
6137392, 19145, 3364
6160268, 2401, 3364
6182120, 1936, 729
6202916, 196, 1
6220588, 169, 576
6240356, 729, 361
6260120, 144, 1
6277788, 169, 289
6297540, 196, 100
6317320, 1, 144
6334976, 0, 144
6352644, 29584, 3136
6375540, 441, 529
6395292, 196, 484
6415048, 441, 225
6434816, 49, 9
6451456, 36, 49
6469136, 81, 36
6486812, 0, 9
6502424, 0, 289
6520108, 31684, 3136
6542988, 324, 361
6562744, 121, 441
6582520, 484, 225
6602288, 144, 4
6619956, 36, 100
6638672, 100, 49
6657392, 9, 0
6672964, 0, 225
6690648, 30625, 3136
6713544, 225, 324
6733296, 144, 484
6753044, 484, 324
6772816, 121, 0
6790500, 36, 100
6809212, 121, 81
6827928, 1, 9
6843544, 0, 324
6861220, 30276, 3721
6884108, 324, 529
6903880, 144, 361
6923640, 529, 400
6943400, 100, 0
6961064, 25, 81
6978756, 144, 64
6997468, 1, 4
7013048, 0, 256
7030712, 30625, 3136
7053620, 0, 1
7069200, 1424, 9409
7091040, 32761, 2704
7113948, 0, 484
7131600, 0, 4489
7150316, 25600, 4761
7173228, 0, 16
7189848, 0, 5776
7208568, 21316, 4225
7231452, 81, 9
7248116, 121, 4
7265768, 49, 100
7284484, 196, 169
7304256, 36, 4
7320912, 0, 1089
7339624, 0, 3025
7358348, 144, 100
7378120, 1, 81
7394760, 361, 484
7414520, 400, 225
7434276, 0, 121
7451952, 169, 225
7471696, 7225, 144
7492508, 29929, 2025
7515384, 6724, 729
7536188, 9, 49
7552828, 225, 100
7572596, 1, 25
7589216, 0, 49
7605844, 27889, 3721
7628728, 225, 361
7648492, 256, 729
7668248, 576, 256
7688012, 81, 1
7704660, 81, 169
7723384, 144, 49
7742096, 1, 64
7758740, 0, 256
7776428, 30625, 3025
7799316, 400, 576
7819080, 144, 324
7838840, 484, 256
7858600, 81, 4
7875236, 36, 81
7892900, 100, 81
7911636, 1, 9
7927208, 0, 324
7944880, 30625, 3249
7967776, 289, 441
7987548, 121, 324
8007280, 484, 324
8027044, 100, 16
8045776, 36, 144
8064500, 121, 49
8083212, 4, 1
8098832, 0, 225
8116508, 30625, 3364
8139372, 0, 1
8155000, 14089, 10816
8178896, 31808, 4761
8201772, 25, 529
8220488, 11236, 4
8240264, 144, 81
8258972, 1, 0
8274576, 0, 256
8292256, 27889, 4489
8315152, 25, 81
8332832, 81, 576
8351560, 961, 784
8371320, 361, 4
8388996, 36, 196
8407700, 1936, 441
8428500, 14641, 900
8450356, 3364, 121
8471152, 121, 1
8488824, 121, 81
8507556, 81, 64
8525208, 0, 121
8542876, 28224, 4356
8565792, 100, 169
8585532, 144, 676
8605284, 729, 441
8625052, 169, 9
8642740, 100, 289
8662504, 196, 100
8682248, 1, 36
8698892, 81, 64
8716580, 11025, 100
8738404, 0, 625
8756104, 2585, 3249
8777924, 0, 5625
8796636, 21904, 3844
8819532, 169, 25
8838276, 81, 1
8854904, 0, 121
8872580, 27225, 4900
8895460, 576, 81
8914192, 625, 1089
8935000, 2116, 361
8955780, 0, 441
8973480, 17153, 3969
8996328, 0, 10201
9016088, 29241, 4096
9038980, 225, 81
9057688, 25, 1
9074340, 0, 16
9090976, 26244, 5041
9113876, 64, 441
9132588, 324, 841
9152360, 1089, 529
9173164, 169, 1
9190828, 121, 324
9210588, 225, 49
9229308, 0, 16
9245960, 121, 196
9265716, 4, 36
9282328, 0, 961
9300008, 0, 2704
9318740, 100, 64
9337460, 0, 64
9354096, 361, 400
9373880, 4624, 49
9393632, 144, 1
9411296, 3136, 196
9432112, 12321, 441
9453928, 0, 169
9471644, 21028, 8281
9494484, 25744, 6084
9517368, 24964, 3721
9540248, 900, 529
9560016, 100, 256
9579784, 81, 9
9596420, 4, 0
9612020, 0, 484
9629708, 32041, 3364
9652576, 30976, 4
9672328, 0, 4900
9691060, 0, 9
9706668, 7225, 400
9727464, 169, 225
9747228, 225, 4
9764916, 121, 400
9784676, 484, 169
9804432, 16, 49
9822108, 256, 256
9841876, 196, 25
9860568, 0, 121
9878244, 27225, 4489
9901140, 12321, 16
9921940, 1849, 2304
9943784, 4624, 2025
9965632, 4, 256
9983316, 729, 1225
10004120, 1156, 576
10025944, 36, 144
10045712, 361, 324
10066508, 225, 16
10086276, 64, 256
10106036, 196, 100
10126828, 1, 100
10145544, 144, 100
10166356, 81, 25
10185076, 25, 144
10204828, 81, 25
10223544, 1, 9
10240196, 64, 49
10258884, 0, 576
10277600, 30276, 4356
10301544, 0, 121
10320264, 29584, 6084
10344184, 196, 100
10364980, 121, 64
10384760, 784, 1444
10406596, 1024, 361
10428436, 4, 196
10447152, 484, 529
10467960, 196, 0
10486668, 121, 289
10507476, 225, 49
10527228, 0, 49
10544908, 196, 196
10565716, 64, 0
10583396, 36, 121
10603148, 100, 25
10622904, 0, 25
10640592, 64, 64
10659316, 16, 0
10676964, 0, 196
10695696, 29584, 3600
10719620, 0, 36
10737300, 2153, 10404
10761228, 11057, 4900
10785156, 21025, 3025
10809044, 0, 121
10827752, 26569, 5041
10851688, 36, 289
10871456, 81, 361
10891208, 576, 289
10912020, 121, 4
10930728, 49, 169
10950500, 121, 36
10970260, 0, 25
10987928, 64, 36
11006656, 9, 1
11023300, 15876, 441
11046164, 0, 2025
11065920, 10201, 1600
11089852, 64, 16
11108584, 49, 36
11127312, 1, 25
11144996, 100, 49
11164760, 144, 4
11183464, 2500, 36
11204264, 7396, 144
11226092, 10404, 324
11248972, 0, 1089
11268740, 12769, 1600
11292648, 10000, 25
11314512, 1600, 625
11336348, 3481, 400
11358180, 100, 100
11378988, 1681, 225
11400820, 3364, 256
11422652, 289, 49
11442424, 1089, 256
11464256, 49, 144
11484028, 1444, 25
11504828, 64, 0
11522488, 1156, 1
11542252, 400, 225
11563068, 225, 4
11581784, 625, 196
11602584, 361, 16
11622336, 16, 0
11640016, 2116, 0
11659800, 784, 196
11680596, 225, 25
11700364, 1, 100
11719080, 121, 36
11738828, 49, 81
11757536, 361, 25
11777308, 289, 36
11797060, 676, 64
11816820, 100, 36
11836584, 625, 9
11855288, 3249, 256
11877140, 64, 25
11895860, 1849, 81
11916664, 2209, 81
11937476, 529, 4
11956180, 7056, 121
11978032, 576, 400
11998836, 961, 4
12017556, 576, 4
12036280, 36, 16
12054996, 49, 0
12072660, 121, 49
12092436, 0, 16
12110112, 0, 9
12126760, 16, 49
12145476, 1, 25
12163168, 4, 9
12179804, 4, 1
12196440, 16, 0
12214120, 25, 1
12231796, 4, 4
12248432, 4, 16
12266120, 0, 1
12282756, 16, 4
12300444, 16, 9
12318116, 144, 16
12337876, 49, 9
12355536, 0, 36
12373236, 1, 25
12390924, 169, 9
12409640, 324, 25
12429392, 16, 36
12448120, 0, 25
12465800, 0, 4
12482436, 49, 9
