Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
7561956, 1, 0
507579644, 4, 4
507597312, 1, 196
507617060, 4, 81
507635792, 9, 49
507654520, 0, 16
507673232, 0, 11, 0
507561956, 1, 0
507579644, 4, 4
507597312, 1, 196
507617060, 4, 81
507635792, 9, 49
507654520, 0, 16
507673232, 0, 151600, 11449, 11449
53912, 10404, 6724
56192, 841, 144
58328, 196, 25
62744, 625, 36
79376, 196, 900
97048, 25, 324
113696, 49, 729
131380, 121, 9
148012, 16, 169
165696, 1, 225
182344, 121, 49
200024, 169, 81
217696, 4, 25
233308, 16, 121
250984, 25, 1
266584, 49, 0
282172, 25, 529
299864, 4, 16
315464, 121, 4
332100, 4, 441
348744, 25, 4
364336, 289, 324
383072, 64, 0
398664, 225, 64
416340, 16, 25
432980, 1, 289
449624, 1, 81
465220, 144, 169
483924, 0, 144
500588, 49, 81
517228, 1, 25
532820, 4, 529
549456, 1, 25
565060, 1, 196
581696, 36, 196
599384, 1, 1
613932, 36, 81
630572, 36, 361
648268, 225, 64
665940, 441, 36
683604, 81, 144
701300, 0, 25
716908, 36, 1
732504, 1, 625
749136, 81, 49
765768, 625, 81
783452, 49, 256
801156, 9, 1
815708, 121, 4
832340, 121, 196
851064, 676, 1
867696, 81, 25
884340, 25, 169
902024, 324, 81
919712, 64, 9
935316, 49, 4
950888, 64, 729
968568, 49, 36
985224, 25, 4
1000824, 289, 1089
1021612, 100, 361
1041364, 441, 16
1060108, 4, 9
1075696, 324, 121
1095448, 64, 225
1114176, 256, 1
1131856, 1, 81
1148484, 1296, 196
1169292, 1024, 625
1190100, 676, 9
1207776, 400, 9
1225460, 169, 36
1244176, 729, 0
1261860, 49, 49
1279528, 961, 100
1299296, 64, 324
1318020, 169, 256
1337764, 441, 0
1355448, 529, 64
1374160, 81, 25
1391844, 3249, 64
1411620, 324, 1
1429288, 4225, 1444
1451140, 400, 2916
1471936, 2500, 25
1491696, 100, 9
1509364, 3969, 3136
1531216, 5929, 3025
1553044, 5776, 324
1573848, 0, 121
1591532, 9216, 36
1611288, 22801, 529
1633116, 19600, 1849
1656020, 4761, 3844
1677848, 1600, 361
1698652, 1600, 81
1718412, 0, 36
1735052, 400, 324
1754800, 1369, 400
1775620, 1936, 100
1796416, 49, 225
1815136, 25, 361
1833852, 961, 1
1851536, 1600, 529
1872336, 1024, 484
1893132, 6084, 4
1911852, 14161, 81
1932648, 8281, 324
1953452, 81, 0
1970068, 441, 729
1989860, 1764, 1
2008572, 64, 144
2027292, 10609, 1225
2050164, 20164, 121
2071996, 1444, 25
2091784, 400, 4
2109460, 289, 196
2129220, 6400, 676
2150012, 2209, 256
2170808, 784, 9
2188500, 256, 625
2208264, 4, 784
2225936, 484, 1
2243608, 3025, 196
2264416, 2209, 100
2285208, 1936, 169
2306008, 3249, 169
2326832, 14161, 36
2347608, 23268, 2500
2370464, 0, 2304
2389228, 64, 36
2406880, 2916, 9
2425604, 0, 2809
2444324, 22201, 2601
2467220, 2601, 256
2488004, 1225, 100
2508796, 0, 289
2526488, 0, 3481
2545204, 64, 196
2563912, 26896, 2304
2586792, 0, 961
2604492, 2916, 225
2625300, 14400, 361
2647140, 2401, 169
2667932, 4624, 144
2688724, 26569, 441
2710568, 7056, 961
2731376, 20164, 324
2753216, 0, 1681
2771908, 4489, 841
2792756, 529, 225
2812484, 324, 1
2830156, 784, 484
2849932, 225, 121
2869692, 361, 169
2889464, 324, 9
2907112, 4900, 4
2925848, 11025, 400
2947700, 2209, 441
2968496, 16, 0
2985132, 5184, 16
3004884, 16641, 441
3026720, 4900, 400
3047544, 676, 81
3066264, 225, 4
3083944, 49, 36
3101612, 324, 100
3121388, 169, 1
3139044, 6561, 144
3159856, 2500, 256
3180664, 4, 81
3197296, 64, 225
3216020, 529, 169
3235764, 2500, 100
3256584, 3844, 100
3277384, 3025, 9
3296080, 361, 16
3314808, 4, 1
3330404, 8649, 225
3351212, 22201, 784
3373064, 1, 1
3388652, 3721, 576
3409424, 9409, 196
3430248, 21904, 3025
3453140, 484, 289
3472896, 1296, 64
3492648, 10000, 1089
3515532, 0, 4225
3534260, 7396, 1936
3556084, 2304, 144
3576912, 3721, 9
3595616, 100, 144
3615356, 8836, 100
3636152, 20164, 3249
3659052, 12321, 784
3680892, 8836, 0
3699608, 5625, 576
3720420, 784, 400
3740184, 9, 4
3755764, 4, 169
3773448, 144, 36
3792176, 441, 0
3809860, 9, 81
3826484, 4, 256
3844164, 289, 81
3862888, 2809, 529
3883696, 2304, 25
3903444, 1681, 64
3923216, 2916, 196
3944016, 256, 64
3962736, 25, 25
3980424, 900, 9
3998112, 36, 0
4014740, 1521, 25
4034476, 256, 4
4052192, 1764, 529
4072972, 3969, 625
4093768, 1600, 25
4113544, 1, 9
4129148, 16, 0
4145776, 196, 1
4163456, 784, 64
4182192, 289, 25
4200904, 256, 1
4218580, 1764, 9
4237288, 576, 400
4257056, 196, 16
4275776, 36, 81
4293452, 400, 121
4313220, 169, 81
4331944, 81, 100
4350656, 81, 1
4367288, 16, 9
4383936, 64, 225
4402648, 225, 16
4421380, 441, 25
4440096, 1296, 1
4458812, 2116, 100
4479608, 2025, 100
4500404, 2916, 256
4521224, 1600, 144
4542020, 484, 100
4561784, 256, 144
4581552, 25, 36
4599228, 25, 144
4617936, 4, 121
4635612, 0, 121
4653312, 289, 1
4670984, 169, 25
4689700, 9, 289
4707384, 100, 9
4725056, 36, 49
4742740, 1, 225
4760404, 441, 81
4779148, 169, 9
4796816, 64, 144
4815540, 0, 4
4831128, 1, 81
4847796, 100, 36
4866496, 121, 9
