Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53912,10404,6724,6
56192,841,144,6
58328,196,25,6
62744,625,36,6
79376,196,900,6
97048,25,324,6
113696,49,729,6
131380,121,9,6
148012,16,169,6
165696,1,225,6
182344,121,49,6
200024,169,81,6
217696,4,25,6
233308,16,121,6
250984,25,1,6
266584,49,0,6
282172,25,529,6
299864,4,16,6
315464,121,4,6
332100,4,441,6
348744,25,4,6
364336,289,324,6
383072,64,0,6
398664,225,64,6
416340,16,25,6
432980,1,289,6
449624,1,81,6
465220,144,169,6
483924,0,144,6
500588,49,81,6
517228,1,25,6
532820,4,529,6
549456,1,25,6
565060,1,196,6
581696,36,196,6
599384,1,1,6
613932,36,81,6
630572,36,361,6
648268,225,64,6
665940,441,36,6
683604,81,144,6
701300,0,25,6
716908,36,1,6
732504,1,625,6
749136,81,49,6
765768,625,81,6
783452,49,256,6
801156,9,1,6
815708,121,4,6
832340,121,196,6
851064,676,1,6
867696,81,25,6
884340,25,169,6
902024,324,81,6
919712,64,9,6
935316,49,4,6
950888,64,729,6
968568,49,36,6
985224,25,4,6
1000824,289,1089,6
1021612,100,361,6
1041364,441,16,6
1060108,4,9,6
1075696,324,121,6
1095448,64,225,6
1114176,256,1,6
1131856,1,81,6
1148484,1296,196,6
1169292,1024,625,6
1190100,676,9,6
1207776,400,9,6
1225460,169,36,6
1244176,729,0,6
1261860,49,49,6
1279528,961,100,6
1299296,64,324,6
1318020,169,256,6
1337764,441,0,6
1355448,529,64,6
1374160,81,25,6
1391844,3249,64,6
1411620,324,1,6
1429288,4225,1444,6
1451140,400,2916,6
1471936,2500,25,6
1491696,100,9,6
1509364,3969,3136,6
1531216,5929,3025,6
1553044,5776,324,6
1573848,0,121,6
1591532,9216,36,6
1611288,22801,529,6
1633116,19600,1849,6
1656020,4761,3844,6
1677848,1600,361,6
1698652,1600,81,6
1718412,0,36,6
1735052,400,324,6
1754800,1369,400,6
1775620,1936,100,6
1796416,49,225,6
1815136,25,361,6
1833852,961,1,6
1851536,1600,529,6
1872336,1024,484,6
1893132,6084,4,6
1911852,14161,81,6
1932648,8281,324,6
1953452,81,0,6
1970068,441,729,6
1989860,1764,1,6
2008572,64,144,6
2027292,10609,1225,6
2050164,20164,121,6
2071996,1444,25,6
2091784,400,4,6
2109460,289,196,6
2129220,6400,676,6
2150012,2209,256,6
2170808,784,9,6
2188500,256,625,6
2208264,4,784,6
2225936,484,1,6
2243608,3025,196,6
2264416,2209,100,6
2285208,1936,169,6
2306008,3249,169,6
2326832,14161,36,6
2347608,23268,2500,6
2370464,0,2304,6
2389228,64,36,6
2406880,2916,9,6
2425604,0,2809,6
2444324,22201,2601,6
2467220,2601,256,6
2488004,1225,100,6
2508796,0,289,6
2526488,0,3481,6
2545204,64,196,6
2563912,26896,2304,6
2586792,0,961,6
2604492,2916,225,6
2625300,14400,361,6
2647140,2401,169,6
2667932,4624,144,6
