Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
51608,8836,11025
53864,4356,10000
56144,64,484
58248,0,100
60316,900,144
77292,4,729
92880,0,2401
109520,576,1681
129304,1,1
143860,441,4
160508,25,1
176084,121,0
192732,36,196
210412,25,49
227056,36,64
243692,9,1
258268,9,36
273856,1,49
289452,36,16
306092,64,25
322748,0,4
337304,4,9
351848,4,25
367460,9,4
382028,25,16
398668,9,0
413232,4,4
427772,4,36
443372,1,4
457936,0,4
472500,0,16
488100,4,25
503692,16,64
520348,4,1
534900,4,36
550508,25,1
566092,25,225
583780,100,289
602496,196,441
621212,36,289
638896,1,36
654496,16,4
670104,0,9
684656,36,144
702332,0,729
718976,121,361
737696,64,1764
756428,324,784
775140,4,9
789704,4,256
806328,49,4900
825036,4,2916
842724,144,729
861468,36,1936
880172,196,2025
899924,1156,0
917620,25,6561
936340,400,3969
956088,1,3364
973764,144,6400
993540,529,1225
1013300,0,16
1029932,9,841
1047612,0,1156
1066352,36,16
1084008,36,1369
1103772,484,1849
1124580,81,324
1143300,25,1444
1163056,36,25
1180740,36,64
1198432,81,225
1217144,0,81
1233784,100,64
1252512,0,36
1269140,9,529
1286812,196,729
1306564,4,289
1324268,36,196
1342980,4,16
1359612,0,121
1377288,36,1156
1397056,225,4624
1417856,576,1024
1438656,1,144
1456356,81,841
1475048,400,1156
1495852,25,196
1514584,1,0
1530180,1,9
1545780,9,49
1562420,1,289
1580096,121,49
1598816,25,144
1617544,1,441
1635224,25,169
1653948,25,16
1671616,1,81
1688240,4,1936
1706968,100,4356
1727788,169,100
1747536,4,289
1765220,16,81
1782908,9,169
1800576,9,196
1818248,16,25
1835936,0,4
1851536,0,16
1868188,0,4
1883776,36,9
1900420,4,1
1916028,4,81
1932668,1,121
1950340,0,4
1965932,0,0
1981540,25,16
1999216,16,9
2015856,0,4
2031460,0,0
2047060,9,25
2063700,9,25
2080336,25,324
2099060,64,121
2117796,16,225
2136496,25,1369
2156244,100,1156
2177060,49,49
2194740,4,25
2211384,25,144
2230100,1,196
2247772,100,324
2267532,100,1024
2288348,9,1024
2307056,36,1024
2326828,49,529
2345544,16,484
2364260,16,324
2382992,1,64
2399632,4,25
2416260,25,841
2434976,49,1849
2454740,64,961
2473456,36,144
2492168,4,729
2509864,49,2401
2529628,16,36
2547304,4,289
2564980,16,256
2583708,36,729
2602412,36,400
2621148,1,289
2638812,25,729
2657548,361,841
2677300,100,256
2697056,1,49
2713708,36,0
2730344,0,529
2748028,169,529
2767772,81,36
2785468,1,36
2802096,0,121
2819776,16,1
2836412,16,4
2853068,16,0
2869692,36,64
2887380,1,16
2904020,9,400
2921696,9,529
2939372,0,4
2954984,4,196
2972648,0,9
2988268,25,4
3004892,16,676
3023612,36,1600
3043380,36,324
3062100,0,16
3078732,25,4
3095380,16,1
3112028,9,36
3128660,0,64
3145292,16,361
3164004,49,900
3182736,81,196
3201460,1,1
3217056,4,0
3232660,4,1
3248264,4,25
3264900,1,100
3282576,4,25
3299216,0,1
3314824,4,9
3330432,1,25
3347056,0,4
3362656,1,169
3380352,4,169
3398020,1,64
3414656,4,324
3432340,9,400
3450024,9,196
3467688,16,4
3484336,0,4
3499936,0,36
3516588,9,1
3532188,0,1
3547780,4,121
3565464,25,49
3583144,1,1
3598736,0,0
3614340,4,16
3630988,4,16
3647620,4,361
3665296,4,81
3681940,0,36
3698576,9,9
3714180,9,4
3729788,0,49
3746424,4,144
3764096,25,81
3781784,1,4
3797380,4,121
3815048,0,64
3831704,0,1
3847308,0,0
3862912,0,49
3879532,0,64
3896176,0,0
3911784,16,16
3929468,9,256
3947132,49,2401
3966888,225,2116
3987696,81,225
4006432,1,9
4022020,1,0
4037620,36,100
4056348,25,25
4074032,4,1
4089624,4,36
4106260,0,121
4123948,16,16
4141620,1,0
4157208,0,0
4172828,4,4
4188432,4,0
4204016,0,4
4219620,1,25
4236252,16,121
4254988,36,256
4273712,9,25
4290348,1,25
4306980,4,100
4324660,0,9
4340256,0,16
