Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
51608,8836,11025,5
53864,4356,10000,5
56144,64,484,5
58248,0,100,5
60316,900,144,5
77292,4,729,5
92880,0,2401,5
109520,576,1681,5
129304,1,1,5
143860,441,4,5
160508,25,1,5
176084,121,0,5
192732,36,196,5
210412,25,49,5
227056,36,64,5
243692,9,1,5
258268,9,36,5
273856,1,49,5
289452,36,16,5
306092,64,25,5
322748,0,4,5
337304,4,9,5
351848,4,25,5
367460,9,4,5
382028,25,16,5
398668,9,0,5
413232,4,4,5
427772,4,36,5
443372,1,4,5
457936,0,4,5
472500,0,16,5
488100,4,25,5
503692,16,64,5
520348,4,1,5
534900,4,36,5
550508,25,1,5
566092,25,225,5
583780,100,289,5
602496,196,441,5
621212,36,289,5
638896,1,36,5
654496,16,4,5
670104,0,9,5
684656,36,144,5
702332,0,729,5
718976,121,361,5
737696,64,1764,5
756428,324,784,5
775140,4,9,5
789704,4,256,5
806328,49,4900,5
825036,4,2916,5
842724,144,729,5
861468,36,1936,5
880172,196,2025,5
899924,1156,0,5
917620,25,6561,5
936340,400,3969,5
956088,1,3364,5
973764,144,6400,5
993540,529,1225,5
1013300,0,16,5
1029932,9,841,5
1047612,0,1156,5
1066352,36,16,5
1084008,36,1369,5
1103772,484,1849,5
1124580,81,324,5
1143300,25,1444,5
1163056,36,25,5
1180740,36,64,5
1198432,81,225,5
1217144,0,81,5
1233784,100,64,5
1252512,0,36,5
1269140,9,529,5
1286812,196,729,5
1306564,4,289,5
1324268,36,196,5
1342980,4,16,5
1359612,0,121,5
1377288,36,1156,5
1397056,225,4624,5
1417856,576,1024,5
1438656,1,144,5
1456356,81,841,5
1475048,400,1156,5
1495852,25,196,5
1514584,1,0,5
1530180,1,9,5
1545780,9,49,5
1562420,1,289,5
1580096,121,49,5
1598816,25,144,5
1617544,1,441,5
1635224,25,169,5
1653948,25,16,5
1671616,1,81,5
1688240,4,1936,5
1706968,100,4356,5
1727788,169,100,5
1747536,4,289,5
1765220,16,81,5
1782908,9,169,5
1800576,9,196,5
1818248,16,25,5
1835936,0,4,5
1851536,0,16,5
1868188,0,4,5
1883776,36,9,5
1900420,4,1,5
1916028,4,81,5
1932668,1,121,5
1950340,0,4,5
1965932,0,0,5
1981540,25,16,5
1999216,16,9,5
2015856,0,4,5
2031460,0,0,5
2047060,9,25,5
2063700,9,25,5
2080336,25,324,5
2099060,64,121,5
2117796,16,225,5
2136496,25,1369,5
2156244,100,1156,5
2177060,49,49,5
2194740,4,25,5
2211384,25,144,5
2230100,1,196,5
2247772,100,324,5
2267532,100,1024,5
2288348,9,1024,5
2307056,36,1024,5
2326828,49,529,5
2345544,16,484,5
2364260,16,324,5
2382992,1,64,5
2399632,4,25,5
2416260,25,841,5
2434976,49,1849,5
2454740,64,961,5
2473456,36,144,5
2492168,4,729,5
2509864,49,2401,5
2529628,16,36,5
2547304,4,289,5
2564980,16,256,5
2583708,36,729,5
2602412,36,400,5
2621148,1,289,5
2638812,25,729,5
2657548,361,841,5
2677300,100,256,5
2697056,1,49,5
2713708,36,0,5
2730344,0,529,5
2748028,169,529,5
2767772,81,36,5
2785468,1,36,5
2802096,0,121,5
2819776,16,1,5
2836412,16,4,5
2853068,16,0,5
2869692,36,64,5
2887380,1,16,5
2904020,9,400,5
2921696,9,529,5
2939372,0,4,5
2954984,4,196,5
2972648,0,9,5
2988268,25,4,5
3004892,16,676,5
3023612,36,1600,5
3043380,36,324,5
3062100,0,16,5
3078732,25,4,5
3095380,16,1,5
3112028,9,36,5
3128660,0,64,5
3145292,16,361,5
3164004,49,900,5
3182736,81,196,5
3201460,1,1,5
3217056,4,0,5
3232660,4,1,5
3248264,4,25,5
3264900,1,100,5
3282576,4,25,5
3299216,0,1,5
3314824,4,9,5
3330432,1,25,5
3347056,0,4,5
3362656,1,169,5
3380352,4,169,5
3398020,1,64,5
3414656,4,324,5
3432340,9,400,5
3450024,9,196,5
3467688,16,4,5
3484336,0,4,5
3499936,0,36,5
3516588,9,1,5
3532188,0,1,5
3547780,4,121,5
3565464,25,49,5
3583144,1,1,5
3598736,0,0,5
3614340,4,16,5
3630988,4,16,5
3647620,4,361,5
3665296,4,81,5
3681940,0,36,5
3698576,9,9,5
3714180,9,4,5
3729788,0,49,5
3746424,4,144,5
3764096,25,81,5
3781784,1,4,5
3797380,4,121,5
3815048,0,64,5
3831704,0,1,5
3847308,0,0,5
3862912,0,49,5
3879532,0,64,5
3896176,0,0,5
3911784,16,16,5
3929468,9,256,5
3947132,49,2401,5
3966888,225,2116,5
3987696,81,225,5
4006432,1,9,5
4022020,1,0,5
4037620,36,100,5
4056348,25,25,5
4074032,4,1,5
4089624,4,36,5
4106260,0,121,5
4123948,16,16,5
4141620,1,0,5
4157208,0,0,5
4172828,4,4,5
4188432,4,0,5
4204016,0,4,5
4219620,1,25,5
4236252,16,121,5
4254988,36,256,5
4273712,9,25,5
4290348,1,25,5
4306980,4,100,5
4324660,0,9,5
4340256,0,16,5
4356900,16,0,5
4373544,0,25,5
4390188,4,49,5
4406824,0,36,5
4423464,1,9,5
4439072,1,1,5
4454664,9,36,5
4471304,0,49,5
4487936,49,81,5
4505616,16,9,5
4522260,0,1,5
4537860,0,9,5
4553452,1,1,5
4569052,1,81,5
4585696,1,81,5
4602340,0,256,5
4620012,25,1156,5
4639772,64,900,5
4658492,36,225,5
4677220,9,4,5
4692820,0,289,5
4710508,9,529,5
4728188,9,0,5
4743780,0,144,5
4761460,0,361,5
4779140,9,529,5
4796820,25,169,5
4815528,9,36,5
4832164,49,256,5
4850904,169,841,5
4870652,121,324,5
4890416,1,16,5
4907064,4,64,5
4923712,9,16,5
4940336,1,81,5
4956988,0,16,5
4973628,9,36,5
4990264,16,121,5
5008984,0,36,5
5025632,36,576,5
5044348,36,225,5
5063060,4,4,5
5078648,0,16,5
5095300,0,1,5
5110904,9,9,5
5126500,16,144,5
5145220,1,1,5
5160816,0,256,5
5178500,9,100,5
5196196,1,121,5
5213856,36,121,5
5232576,36,225,5
5251312,25,1,5
5267924,100,1024,5
5288732,144,729,5
5308512,4,64,5
5325148,0,9,5
