Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
1, 4
158962272, 0, 0
158979944, 0, 0
158997632, 0, 0
159015320, 1, 0
159032996, 0, 0
159050664, 0, 0
159068356, 1,44600, 1, 4
158962272, 0, 0
158979944, 0, 0
158997632, 0, 0
159015320, 1, 0
159032996, 0, 0
159050664, 0, 0
159068356, 1,51612, 10816, 9025
53868, 9801, 3600
56104, 625, 121
58236, 81, 144
60672, 400, 361
78364, 324, 121
96032, 1, 49
110576, 169, 169
129320, 64, 0
144924, 1, 49
160520, 64, 1
176112, 1, 25
191712, 64, 25
208348, 9, 4
222916, 1, 49
238512, 9, 1
253084, 4, 4
267632, 16, 4
283228, 9, 0
297796, 4, 9
312360, 16, 0
327960, 1, 0
342516, 1, 1
357068, 4, 0
371624, 4, 0
386196, 0, 4
400768, 0, 0
415316, 0, 9
429876, 4, 1
444448, 1, 1
459004, 1, 16
474596, 0, 1
489144, 25, 16
505792, 16, 9
521408, 4, 1
535956, 49, 4
551556, 25, 9
567156, 1, 9
581712, 0, 0
596284, 25, 1
611880, 9, 0
626440, 36, 1
642032, 64, 0
657632, 9, 0
672192, 1, 0
686748, 1, 0
701308, 9, 4
715872, 4, 25
731484, 9, 36
747084, 16, 36
763716, 1, 9
778276, 0, 1
792836, 4, 1
807384, 0, 0
821956, 9, 4
836512, 9, 9
851076, 9, 9
865640, 4, 81
881232, 4, 81
896832, 49, 16
913480, 25, 1
929080, 36, 1
944684, 196, 121
963396, 100, 225
982120, 25, 0
997716, 25, 100
1015388, 361, 0
1033068, 2304, 36
1052832, 1849, 64
1072592, 400, 16
1091308, 1936, 121
1112116, 400, 9
1129768, 1028, 289
1150524, 29584, 14641
1174488, 7569, 8993
1196332, 3844, 29241
1219220, 100, 400
1238972, 324, 3025
1259780, 961, 4624
1280568, 81, 16129
1301368, 529, 144
1321120, 784, 1681
1341928, 784, 25
1360664, 196, 900
1380424, 1089, 529
1401220, 36, 100
1419928, 484, 625
