Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53864,9216,3364,6
56088,529,196,6
58224,100,100,6
61724,225,441,6
79388,361,100,6
97068,36,49,6
112672,361,100,6
131404,49,9,6
146996,49,36,6
163636,9,16,6
179240,49,36,6
195876,400,9,6
212524,1,4,6
227072,9,16,6
242668,16,9,6
258284,1,1,6
272832,1,16,6
288424,1,0,6
303000,0,4,6
317564,4,4,6
332112,25,4,6
347704,16,4,6
363312,1,0,6
377880,9,1,6
392432,81,0,6
408028,9,0,6
422596,9,4,6
437152,16,9,6
452760,0,0,6
467316,1,0,6
481868,36,9,6
497472,81,4,6
513076,144,9,6
529712,49,16,6
546348,4,0,6
560908,0,1,6
575468,0,0,6
590036,9,1,6
604588,0,0,6
619144,1,0,6
633716,4,0,6
648288,4,0,6
662840,16,4,6
678444,25,4,6
694036,36,1,6
709624,9,0,6
724196,16,1,6
739796,144,1,6
756428,49,0,6
772036,1,4,6
786608,36,4,6
802192,4,0,6
816752,16,9,6
832352,64,0,6
847960,1,16,6
863560,1,0,6
878120,0,4,6
892672,121,1,6
909320,784,36,6
927000,400,49,6
944688,9,0,6
959232,81,36,6
975884,36,1,6
991484,9,4,6
1006036,25,9,6
1022668,36,4,6
1039308,0,1,6
1054924,225,1,6
1072588,225,36,6
1091312,64,0,6
1107940,9,16,6
1124608,144,1,6
1142276,361,4,6
1159960,289,9,6
1177644,169,1,6
1195320,9,0,6
1210924,1,0,6
1226520,1,0,6
1242108,0,9,6
1257724,16,25,6
1275392,49,0,6
1292024,625,49,6
1310748,841,36,6
1329472,1089,9,6
1348188,576,1,6
1365872,400,49,6
1384596,3025,16,6
1404344,5929,1089,6
1426188,1521,324,6
1447000,100,1,6
1464684,196,49,6
1483384,49,64,6
1501048,11025,144,6
1522904,9025,400,6
1543696,20449,81,6
1564512,0,3600,6
1583216,0,3249,6
1601948,9,169,6
1619628,49,0,6
1636248,10201,169,6
1658112,11236,0,6
1677856,36,169,6
1696576,10000,36,6
1717392,1225,100,6
1738176,16384,25,6
1758980,5329,100,6
1779800,1764,0,6
1798532,3136,196,6
1819304,7225,441,6
1840092,5329,256,6
1860900,1936,64,6
1880656,10609,9,6
1900440,676,9,6
1918112,11881,225,6
1939932,13456,100,6
1961784,5184,144,6
1982584,2809,441,6
2003388,196,256,6
2023144,1444,4,6
2041852,3721,9,6
