Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
,,
,,
,,
,,
,,
,,
53864,9025,2809
56100,441,121
58236,121,36
60668,400,324
78336,196,400
96024,4,1
109524,121,625
128272,0,100
144896,25,196
162580,144,121
181308,36,121
198960,36,1444
217704,9,1849
235372,4,1764
253060,256,1369
272820,144,0
289460,4,64
305052,0,121
321700,100,144
340416,4,256
357060,1,25
372648,16,16
389312,1,1089
406976,1,1600
424652,144,2025
444400,121,3721
464176,121,441
482892,225,144
501628,9,484
518264,9,900
534904,49,81
551528,36,1444
570256,4,3364
587932,100,1521
607708,121,1936
627456,9,5476
645136,81,5041
663856,256,196
682568,4,484
699232,36,576
716916,4,100
733536,49,784
751208,1,1444
768892,529,3025
788656,361,2601
808408,196,324
827136,256,289
845852,9,36
861468,1,841
878104,4,196
894728,64,441
912416,0,121
929060,25,169
946744,36,144
964412,25,1225
983148,4,169
999788,1,225
1016412,0,1444
1035120,25,11449
1055944,361,4356
1076732,289,196
1096488,1,1521
1115208,64,169
1133944,36,1849
1153692,36,196
1172412,1,169
1190108,16,4
1206732,121,256
1226484,4,289
1244172,1,2025
1262904,0,4
1278504,36,1156
1298272,225,100
1318012,196,900
1337780,4,169
1355464,324,484
1375204,81,2500
1394984,9,3136
1413684,1,3969
1432420,25,0
1449064,196,13225
1470876,961,1024
1491688,324,576
1511460,36,625
1530168,1,1089
1548900,0,289
1566568,100,676
1586336,9,81
1602964,121,2116
1623772,25,2304
1643540,36,225
1662272,64,36
1679932,49,289
1698648,0,1225
1717372,16,3364
1737132,81,144
1755868,36,1369
1775596,289,4624
1796412,64,4096
1816176,361,144
1835936,289,676
1855692,64,4225
1875452,25,2116
1895208,289,49
1913944,36,676
1932660,256,529
1952416,0,49
1969052,0,1
1984668,9,324
2002348,16,4
2018980,9,1600
2037692,64,4489
2057468,529,4225
2078240,144,289
2098008,16,324
2116728,9,196
2134416,0,625
2152104,169,484
2171840,256,1521
2192656,0,529
2210336,1,3844
2229056,1,8281
2247772,361,11236
2269612,256,24649
2291444,361,13924
2313296,729,841
2333080,25,144
2351780,256,256
2371528,16,576
2390248,49,2601
2410008,144,1156
2430816,0,1849
2449532,49,0
2466176,81,2401
2485932,81,9
2502556,289,196
2522328,121,3600
2543144,0,1936
2561856,256,36
2580576,1,4761
2599300,1,8649
2618012,0,2601
2636736,100,9
2654428,49,576
2673128,9,3136
2691848,1,20164
2711616,676,10816
2733460,676,49
2752172,0,9
2767760,16,4096
2787544,484,529
2807296,324,2209
2828092,36,484
2846824,100,3025
2867612,121,7569
2888404,16,6889
2908172,100,2500
2928984,256,529
2948736,0,900
2966412,16,25
2984104,100,16
3002808,36,64
3020504,0,729
3038168,36,1369
3057936,25,729
3076644,400,3844
3097444,49,11449
3118256,121,324
3138000,9,9216
3156728,225,15625
3178576,529,4624
3199368,484,3364
3220168,100,5184
3240968,1,2601
3259696,16,961
3278404,121,2401
3299208,169,10201
3321052,256,9604
3341856,676,5476
3362648,361,5776
3383464,144,625
3403208,144,1156
3423996,36,14884
3444816,484,13225
3466668,2116,1849
3488492,625,3721
3509300,9,9604
3528016,36,0
3544640,121,6889
3565444,100,9216
