Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
51604,10816,5776,1
53856,7921,1156,1
56096,4,400,1
58152,64,25,1
60220,0,441,1
73140,225,676,1
90816,81,841,1
107452,9,36,1
123060,289,25,1
140748,36,4,1
156340,25,16,1
172980,1,16,1
188576,64,36,1
205232,0,9,1
219792,100,9,1
236412,576,16,1
254100,961,1,1
270728,256,16,1
288416,49,36,1
305064,324,169,1
323788,121,25,1
341472,25,16,1
358096,1,49,1
373692,4,64,1
389308,9,25,1
404916,4,144,1
421540,0,400,1
438172,4,64,1
453780,16,0,1
469384,4,4,1
483940,100,16,1
501624,64,4,1
517224,0,25,1
532820,25,1,1
548412,49,49,1
565052,49,9,1
580660,64,1,1
596268,0,0,1
610828,4,9,1
625380,9,36,1
640984,0,1,1
655548,0,0,1
670112,49,16,1
686732,100,49,1
704412,0,16,1
720024,64,9,1
735620,225,49,1
753292,169,16,1
770968,49,0,1
786580,9,0,1
801148,81,1,1
816740,529,9,1
833368,289,25,1
851060,0,9,1
865624,0,4,1
880172,36,9,1
895780,4,9,1
910344,4,1,1
924904,9,4,1
939456,4,0,1
954016,25,36,1
970652,25,4,1
986264,16,0,1
1001868,0,49,1
1018500,4,81,1
1035136,4,4,1
1050748,4,9,1
1066344,4,0,1
1081940,1,0,1
1097536,25,0,1
1114180,4,0,1
1129780,1,9,1
1145388,49,36,1
1163060,169,4,1
1180744,100,25,1
1199468,16,0,1
1216096,9,4,1
1231704,0,9,1
1247308,1,16,1
1263940,9,4,1
1279536,36,0,1
1296180,4,1,1
1311776,0,9,1
1327380,4,1,1
1342984,16,0,1
1359624,9,4,1
1375212,0,25,1
1391856,4,16,1
1408500,9,1,1
1424100,25,4,1
1440728,49,16,1
1458428,9,9,1
1474024,4,1,1
1489620,1,9,1
1505216,4,1,1
1520828,16,0,1
1537452,4,0,1
1553064,100,49,1
1571764,529,121,1
1591540,169,1,1
1609224,4,9,1
1624816,36,1,1
1641452,25,9,1
1658108,36,4,1
1674732,4,4,1
1690340,16,9,1
1706972,25,0,1
1723616,4,0,1
1739208,0,0,1
1754816,4,16,1
1771444,4,36,1
1788108,1,0,1
1803696,9,0,1
1819304,9,25,1
1835932,0,49,1
1852576,1,0,1
1868188,0,4,1
1883780,0,9,1
1899376,1,25,1
1916020,0,9,1
1931616,16,0,1
1948264,81,1,1
1964900,36,4,1
1981544,0,4,1
1997140,1,1,1
2012744,0,1,1
2028340,25,1,1
2044988,36,1,1
2061628,9,0,1
2077228,1,0,1
2092820,16,4,1
2109456,16,1,1
2126100,0,1,1
2141700,1,1,1
2157296,0,1,1
2172888,1,0,1
2188492,1,9,1
2204104,1,4,1
2219700,0,0,1
2235296,1,1,1
2250900,0,4,1
2266500,16,1,1
2283136,25,0,1
2299768,4,0,1
2315380,9,4,1
2330988,25,4,1
2347608,36,4,1
2364252,1,4,1
2379868,1,1,1
2395468,1,1,1
2411056,4,0,1
2426656,0,0,1
2442256,0,0,1
2457868,1,1,1
2473460,16,0,1
2490092,25,1,1
2506728,4,0,1
2522340,9,1,1
2537940,16,4,1
2554576,1,0,1
2570176,0,0,1
2585788,4,0,1
2601388,1,4,1
2616980,0,4,1
2632572,0,9,1
2648180,16,16,1
2665872,1,4,1
2681460,0,4,1
2697056,9,16,1
2713704,4,0,1
2729300,16,4,1
2745936,9,16,1
2762580,1,16,1
2779228,4,0,1
2794816,0,4,1
2810420,16,9,1
2827056,16,0,1
2843712,25,4,1
2860348,25,1,1
2876976,1,0,1
2892568,0,0,1
2908176,1,0,1
2923780,1,0,1
2939380,0,4,1
2954980,0,9,1
2970572,4,1,1
2986180,25,1,1
3002820,9,1,1
3018416,1,0,1
3034008,4,0,1
3049624,1,0,1
3065220,1,1,1
3080820,4,1,1
3096412,1,0,1
3112016,0,1,1
3127624,1,4,1
3143224,1,1,1
3158816,0,0,1
3174424,1,0,1
3190024,4,0,1
3205616,4,0,1
3221220,4,1,1
3236812,0,4,1
3252416,0,0,1
3268008,0,1,1
3283612,0,9,1
3299224,9,4,1
3314828,1,0,1
3330416,1,0,1
3346016,0,4,1
3361616,1,0,1
3377220,1,0,1
3392828,1,0,1
3408428,0,1,1
3424016,1,1,1
3439612,4,0,1
3455224,9,1,1
3470816,1,0,1
3486420,0,1,1
3502012,1,0,1
3517616,4,4,1
3533224,4,0,1
3548820,1,0,1
3564412,0,1,1
3580020,0,1,1
3595624,0,0,1
3611212,0,1,1
3626816,4,1,1
3642416,1,4,1
3658016,1,0,1
3673628,1,1,1
3689212,0,4,1
3704800,0,0,1
3720428,1,1,1
3736016,0,1,1
3751608,0,0,1
3767204,0,0,1
3782816,4,1,1
3798428,4,1,1
3814016,0,0,1
3829608,0,0,1
3845216,4,0,1
3860824,4,1,1
3876416,1,0,1
3892008,0,1,1
3907616,1,0,1
3923216,1,0,1
3938820,0,9,1
3954408,0,1,1
3970012,1,4,1
3985620,0,4,1
4001220,0,0,1
4016816,0,0,1
4032408,0,0,1
4048016,0,0,1
4063612,0,0,1
4079208,0,0,1
4094816,0,1,1
4110428,1,1,1
4126020,1,0,1
4141608,0,4,1
4157208,0,1,1
4172816,0,0,1
4188416,0,0,1
4204012,0,1,1
4219616,0,1,1
4235200,0,0,1
4250812,0,0,1
4266408,0,0,1
4282008,0,1,1
4297612,16,0,1
4314260,25,1,1
4330908,4,4,1
4346500,0,4,1
4362100,4,1,1
4377696,1,1,1
4393292,0,0,1
4408892,0,4,1
4424500,1,4,1
4440108,0,1,1
4455696,0,0,1
4471296,1,0,1
4486888,0,0,1
4502484,0,0,1
4518100,0,0,1
4533700,0,4,1
4549296,1,4,1
4564888,0,1,1
4580496,0,1,1
4596096,0,1,1
4611692,0,0,1
4627300,0,1,1
4642896,0,0,1
4658500,0,1,1
4674100,0,4,1
4689700,4,4,1
4705308,9,1,1
4720896,1,4,1
4736496,1,0,1
4752096,1,0,1
4767692,0,1,1
4783296,4,0,1
4798900,1,0,1
4814496,0,0,1
4830096,0,0,1
4845700,0,1,1
4861308,1,1,1
4876900,0,0,1
4892500,0,0,1
4908100,0,0,1
4923696,0,0,1
