Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
16
391303468, 1, 4
391321132, 0, 1
391338824, 0, 4
391356500, 0, 9
34
391245216, 16, 16
391264968, 16, 16
391284732, 0, 16
391303468, 1, 4
391321132, 0, 1
391338824, 0, 4
391356500, 0, 9
351608, 10404, 9801
53860, 9025, 4356
56092, 529, 25
58188, 144, 484
60660, 289, 169
78332, 361, 144
96012, 49, 64
111604, 576, 225
130344, 9, 16
145952, 4, 16
161548, 49, 16
178164, 0, 100
194816, 64, 900
212496, 4, 784
229136, 4, 256
245784, 64, 4
261372, 25, 100
279056, 81, 196
296748, 49, 529
314420, 9, 400
331060, 225, 64
348732, 16, 4
364340, 256, 484
383052, 16, 2500
401772, 49, 1444
420500, 1, 196
437140, 49, 169
454824, 169, 36
472488, 36, 81
489148, 16, 64
505776, 0, 225
522428, 25, 529
540088, 289, 1444
559864, 196, 576
578584, 25, 81
595228, 9, 841
611864, 9, 1521
629524, 36, 676
647208, 121, 1296
666988, 81, 1156
685696, 9, 2704
703364, 0, 4624
721060, 64, 121
738740, 169, 1521
758500, 16, 324
776172, 81, 49
792824, 1, 1
807384, 9, 81
822980, 4, 1
837532, 1, 1521
855228, 64, 1600
873936, 196, 169
892652, 4, 36
908248, 4, 400
924908, 144, 2809
944648, 256, 289
963380, 49, 1444
982100, 25, 3249
1000824, 49, 3844
1020580, 64, 2209
1040320, 49, 361
1059056, 0, 4
1074664, 1, 16
1091296, 36, 324
1110024, 4, 1
1125632, 4, 16
1142264, 1, 121
1159944, 9, 25
1176584, 0, 49
1193224, 49, 841
1211936, 0, 1296
1230668, 49, 4
1247300, 1, 784
1264980, 1, 36
1281616, 25, 225
1300332, 25, 841
1319048, 100, 4624
1339844, 361, 2304
1360656, 144, 784
1380428, 9, 225
1398108, 4, 121
1415780, 9, 900
1433452, 9, 1156
1452176, 36, 361
1470884, 4, 961
1488568, 25, 1024
1508332, 81, 484
1527060, 1, 900
1544744, 121, 169
1564492, 0, 289
1582180, 25, 529
1600904, 0, 169
1618580, 36, 2025
1638336, 121, 1444
1659140, 100, 625
1678892, 196, 676
1698648, 289, 1849
1719464, 144, 1369
1740252, 9, 1521
1758980, 0, 2025
1777700, 25, 256
1796420, 25, 100
1815140, 0, 324
1832824, 0, 16
1849460, 16, 256
1868188, 4, 16
1884820, 36, 784
1903520, 0, 121
1921220, 49, 0
1937860, 25, 4
1954500, 4, 121
1972168, 0, 1
1987776, 49, 100
2006500, 36, 25
2024180, 25, 196
2042896, 16, 1369
2062668, 0, 49
2079296, 16, 49
2096980, 4, 484
2114668, 64, 625
2133384, 49, 441
2152100, 9, 64
2168736, 16, 361
2187460, 4, 256
2205140, 64, 169
2223856, 1, 1369
2242584, 9, 3364
2261292, 49, 5776
2281048, 121, 3600
2301852, 121, 400
2321624, 121, 81
2340340, 9, 64
2356968, 0, 784
2374652, 0, 729
2392340, 9, 676
2410024, 36, 36
2427692, 169, 1089
2448496, 9, 1681
2467228, 121, 49
2485940, 36, 400
2504644, 1, 289
2522348, 1, 64
2538980, 36, 25
2556648, 16, 1024
2576420, 0, 729
2594112, 81, 121
2612816, 81, 576
2631536, 64, 1156
2651296, 100, 961
2671060, 16, 729
2689776, 4, 576
2707452, 16, 49
2725148, 25, 289
2743860, 0, 961
2761536, 4, 0
2777140, 36, 676
2795860, 144, 121
2815616, 25, 900
2834332, 25, 676
2853064, 16, 400
2871772, 1, 64
2888420, 16, 16
2906092, 121, 16
2924824, 1, 4
