Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53860,8836,1089,6
56092,400,289,6
58244,9,169,6
60288,484,3481,6
78328,64,729,6
94964,81,1296,6
112664,4,36,6
128260,81,196,6
145932,25,1521,6
164648,81,2401,6
183392,121,16,6
201064,4,361,6
217704,0,225,6
234340,4,576,6
250976,9,25,6
266576,1,1600,6
284260,25,361,6
301936,16,64,6
318592,0,256,6
335212,1,36,6
350824,9,784,6
367456,16,256,6
385136,36,49,6
401780,4,1,6
416336,16,121,6
434008,16,256,6
451708,121,25,6
469372,36,1444,6
488092,0,1296,6
505768,16,2025,6
524500,0,3136,6
542172,100,81,6
559852,144,1,6
576488,36,289,6
594184,16,1444,6
612904,225,3721,6
632644,81,4489,6
651372,196,9409,6
671136,400,11236,6
691940,400,576,6
710644,81,961,6
728352,9,81,6
743928,9,2916,6
761612,36,5184,6
780328,225,400,6
799052,225,3364,6
818824,25,2401,6
837528,289,1024,6
857312,81,841,6
874972,100,256,6
893704,144,256,6
912420,0,196,6
929048,9,676,6
945688,36,100,6
963368,49,1369,6
982112,36,1600,6
1000812,169,2401,6
1021616,16,3481,6
1041364,100,529,6
1061144,196,36,6
1079860,1,289,6
1097536,1,81,6
1114172,9,2401,6
1132892,144,2025,6
1153700,289,400,6
1173452,36,1444,6
1193220,16,5041,6
1212972,25,3481,6
1232728,49,3136,6
1252504,9,400,6
1270184,25,81,6
1287848,9,1600,6
1306568,36,625,6
1325292,225,3600,6
1346080,16,3364,6
1365848,400,1521,6
1386656,0,2601,6
1405364,144,100,6
1425128,144,1936,6
1445932,100,961,6
1465708,49,225,6
1484420,0,196,6
1502104,4,4,6
1517688,9,400,6
1535368,16,2401,6
1555144,169,900,6
1574892,144,625,6
1594668,64,1089,6
1614404,196,1024,6
1635200,81,3600,6
1654980,9,2916,6
1673696,576,64,6
1692412,576,4,6
1710100,36,289,6
1728816,100,4624,6
1749600,16,11025,6
1770400,784,6889,6
1791216,324,121,6
1810968,1,2025,6
1829684,1,2500,6
1848424,16,81,6
1866100,100,1089,6
1886892,0,1156,6
1905612,225,64,6
1924336,121,1369,6
1945132,4,3844,6
1963848,25,9025,6
1983612,289,5041,6
2004400,324,1764,6
2025212,0,4356,6
2043932,0,3600,6
2062656,484,576,6
2082400,144,256,6
2102160,4,729,6
2119852,64,2025,6
2139612,144,400,6
2159384,9,0,6
2174964,9,529,6
2192656,81,2304,6
2212424,144,1156,6
2233228,49,49,6
2250908,25,625,6
2269620,9,256,6
2287300,0,121,6
2304964,25,1089,6
2324756,64,729,6
2343476,1,361,6
2361136,9,121,6
2378820,1,289,6
2396496,0,1764,6
2415220,81,841,6
2433932,169,49,6
2452648,100,441,6
2472416,49,1,6
2489044,1,169,6
2506724,36,576,6
2525456,121,81,6
2544184,1,25,6
2560824,16,900,6
2579532,36,3721,6
2599304,25,784,6
2618012,121,625,6
2637764,4,25,6
2654424,49,5041,6
2674180,100,2025,6
2694968,361,25,6
2713708,0,1,6
2729320,0,676,6
2746964,36,36,6
2764640,36,2916,6
2784416,49,2704,6
2804164,484,169,6
2823920,4,5041,6
2842664,169,4624,6
2863464,49,49,6
2881132,36,100,6
2899840,25,3249,6
2919608,64,1089,6
2939364,36,2209,6
2959136,25,3249,6
2978916,144,25,6
2997612,36,1156,6
3017380,1,2209,6
3036100,9,361,6
3053780,0,361,6
3071452,16,64,6
3089120,25,2401,6
3108892,0,4096,6
3127612,441,1764,6
3148396,196,324,6
3168152,9,0,6
3183776,9,169,6
3201436,1,256,6
3219140,4,225,6
3236800,25,784,6
3255536,49,2116,6
3275292,100,2116,6
3296100,169,3249,6
3316896,100,2809,6
3337688,49,784,6
3356412,36,729,6
3375140,4,196,6
3392816,0,6084,6
3411540,144,36,6
3430252,225,9216,6
3451052,196,1296,6
3471856,144,100,6
3491620,256,625,6
3511380,64,441,6
3530100,25,729,6
3548796,324,9,6
3566476,36,961,6
3585204,144,49,6
3603928,4,121,6
3621608,100,1,6
3639288,81,121,6
3658020,25,529,6
3676740,121,1225,6
3697536,0,576,6
3715224,1,256,6
3732900,36,256,6
3751624,4,529,6
3769300,25,81,6
3786980,16,3481,6
3806724,9,17956,6
3826480,441,2601,6
3847288,441,121,6
3867048,100,1024,6
3887836,9,1296,6
3906552,289,5476,6
3927380,529,196,6
3947124,225,1936,6
3967932,361,4624,6
3988744,25,1089,6
4008496,0,289,6
4026176,49,841,6
4044908,289,49,6
4063620,324,169,6
4083372,169,100,6
4103124,49,2704,6
4122896,49,2401,6
4142660,81,100,6
4161372,25,1225,6
4181128,324,3249,6
4201916,169,3364,6
4222724,100,1849,6
4243528,289,3136,6
4264336,25,289,6
4283060,121,121,6
4302804,196,1089,6
4323612,81,7056,6
4343376,121,5625,6
4364172,441,1089,6
4384964,16,961,6
4403700,9,4356,6
4422416,0,1089,6
4441136,16,169,6
4459860,16,484,6
4478580,1,64,6
4495216,0,256,6
4512908,16,361,6
4531624,49,196,6
4550336,9,484,6
4568000,25,841,6
4586736,36,6889,6
4606500,100,3721,6
4627300,289,0,6
4644980,1,169,6
4662668,81,1444,6
4682400,100,1936,6
4703212,9,361,6
4720912,16,729,6
4739612,4,1849,6
4758336,81,1024,6
4778108,196,0,6
4795788,16,36,6
4813452,0,225,6
4831136,9,49,6
4847776,9,324,6
4865440,16,3364,6
4885220,1,3721,6
4903948,64,2209,6
4923712,9,1089,6
4942416,49,484,6
4961124,121,64,6
4979852,1,3136,6
4998576,36,1296,6
5018340,1,4,6
5033924,0,9,6
5049540,4,64,6
5066188,25,16,6
5083868,64,1,6
5100488,9,81,6
5117128,25,196,6
5135848,16,1936,6
5155616,49,676,6
5174340,64,144,6
5193060,25,1156,6
5212808,1,3600,6
5231528,169,256,6
5251308,100,4,6
5268976,0,324,6
5286660,25,100,6
5305376,4,1764,6
5324104,121,441,6
5343852,49,16,6
5361532,1,729,6
5379216,169,3136,6
5400016,225,1521,6
5420812,16,256,6
5439540,64,49,6
5457220,100,25,6
5475936,1,324,6
5493612,36,2500,6
5513388,25,441,6
5532104,81,169,6
5550816,4,1369,6
5569524,36,1521,6
5589300,225,1089,6
5610112,1,49,6
5626736,4,16,6
5643376,49,400,6
5662112,4,169,6
5679776,9,841,6
5697452,49,2601,6
5717228,121,49,6
5735928,25,100,6
5754660,0,729,6
5772340,25,16,6
5790020,1,784,6
5807700,121,100,6
5827460,0,144,6
5845148,121,16,6
5863852,4,1296,6
5882568,25,3721,6
5902336,49,36,6
5920024,64,961,6
5938740,4,361,6
5956416,0,2704,6
5975148,225,961,6
5994896,144,100,6
6014648,9,169,6
6032320,36,1521,6
6052100,9,1764,6
6070832,4,169,6
6088496,64,81,6
6106176,4,49,6
6122824,4,196,6
6140496,0,3969,6
6159208,36,1764,6
6178980,256,256,6
6198740,25,576,6
6217464,36,196,6
6236180,225,4,6
6253860,1,441,6
6271524,36,1764,6
6291296,16,4,6
6307932,81,2500,6
6327708,9,729,6
6345372,121,484,6
6365120,9,1369,6
6383864,16,324,6
6402596,64,9,6
6419220,1,441,6
6436900,1,1156,6
6455620,64,676,6
6474344,0,6561,6
6493056,256,324,6
6512816,36,1936,6
6532576,64,900,6
6551300,25,49,6
6568972,16,361,6
6587700,100,441,6
6607452,4,576,6
6625128,16,576,6
6643860,36,2500,6
6663620,225,729,6
6683376,4,100,6
6701076,1,100,6
6718744,121,64,6
6737460,0,25,6
6754096,4,400,6
6771788,49,36,6
6789460,4,36,6
6806088,25,121,6
6824820,36,2916,6
6844580,0,5929,6
6863292,256,2916,6
6884104,196,1089,6
6904896,81,121,6
6923604,144,361,6
6943380,1,1521,6
6962092,144,81,6
6980832,1,1156,6
6999528,144,676,6
7019292,121,400,6
7039052,36,64,6
7056740,81,576,6
7075460,0,196,6
7093148,144,25,6
7111860,4,196,6
7129540,81,361,6
7148264,1,100,6
7165932,4,2304,6
7184652,9,2601,6
7203368,289,441,6
7223140,100,4,6
7240820,9,1,6
7256432,16,9,6
7273060,16,9,6
7289688,100,49,6
7308424,9,16,6
7325068,49,256,6
7343764,36,625,6
7362496,1,4761,6
7381220,81,1936,6
7400996,64,4,6
7417620,9,225,6
7435304,9,225,6
7452988,121,100,6
7472732,400,36,6
7491456,25,361,6
7510180,16,1,6
7526812,121,1444,6
7547612,9,10609,6
7567368,289,961,6
7587136,441,225,6
7606900,64,36,6
7624580,25,4,6
7641232,81,169,6
7659944,1,529,6
7677620,1,484,6
7695296,81,196,6
7714024,1,961,6
7731700,169,49,6
7750420,9,1296,6
7769152,196,36,6
7787864,9,1089,6
7806572,100,121,6
7826332,0,1225,6
7845056,1,576,6
7862740,0,484,6
7880412,49,576,6
7899140,49,64,6
7916824,36,64,6
7934496,36,784,6
7953224,25,81,6
7970908,9,4,6
7986500,16,289,6
8005212,9,0,6
8020816,36,784,6
8039540,81,144,6
8058256,25,0,6
8074888,36,1156,6
8094652,36,529,6
8113376,64,2209,6
8133136,169,4489,6
8153936,361,900,6
8173704,25,25,6
8191388,81,49,6
8209048,144,484,6
8228808,1,36,6
8245460,4,1225,6
8264180,81,144,6
8282912,0,0,6
8298512,1,441,6
8316172,49,3481,6
8335928,49,2116,6
8355700,4,196,6
8373388,1,9,6
8388992,1,1156,6
8407680,4,361,6
8425372,64,729,6
8444108,25,25,6
8461772,100,576,6
8481532,49,169,6
8500260,49,25,6
8517940,36,441,6
8536668,25,25,6
8554332,0,625,6
8572028,0,1,6
8587616,36,841,6
8606332,0,729,6
8624020,64,484,6
8642744,49,441,6
8661444,4,169,6
8679132,4,1369,6
8697852,25,100,6
8716588,100,441,6
8736348,1,49,6
8752980,4,576,6
8770664,196,196,6
8790432,1,361,6
8808088,25,196,6
8826804,100,676,6
8846580,25,1296,6
8866352,100,1,6
8884020,1,64,6
8900664,49,1936,6
8920416,121,7396,6
8941208,361,169,6
8960964,81,2025,6
8980740,16,1024,6
9000500,49,400,6
9019220,4,841,6
9036904,0,3364,6
9055636,289,900,6
9075384,121,100,6
9095124,64,729,6
9113856,49,16,6
9131544,4,36,6
9148176,9,324,6
9165868,36,100,6
9184584,1,0,6
9200184,36,64,6
9217856,4,441,6
9235556,16,225,6
9254256,81,36,6
9271948,1,25,6
9288584,1,400,6
9306256,1,1521,6
9324972,121,1089,6
9345776,256,81,6
9364496,81,49,6
9382184,36,0,6
9398836,81,144,6
9417540,4,784,6
9435228,4,324,6
9452900,36,9,6
9469528,0,49,6
9486168,4,0,6
9501788,1,4,6
9517388,9,256,6
9535060,16,1,6
9551704,9,961,6
9569400,16,1600,6
9589152,25,361,6
9607844,144,225,6
9627580,225,13456,6
9649460,121,0,6
9667128,2401,10816,6
9690008,1681,1444,6
9711856,36,169,6
9730576,64,2401,6
9750332,9,5476,6
9769072,625,3481,6
9789860,144,441,6
9809624,1,36,6
9826260,81,25,6
9843944,9,81,6
9860588,81,784,6
9879304,16,1225,6
9899052,1,2916,6
9917772,121,3844,6
9938560,289,7225,6
9959364,144,16384,6
9981212,841,2025,6
10002008,1156,841,6
10023832,49,2809,6
10044648,225,1849,6
10066496,1,1089,3
10086252,64,4356,3
10107056,9,2601,3
10126824,196,49,3
10146580,1,1681,3
10166336,169,16,3
10186104,36,625,3
10205856,49,64,3
10224572,9,484,3
10243300,4,729,3
10262020,169,100,3
10282812,36,841,3
10302572,9,3249,3
10322328,36,289,3
10342092,144,1369,3
10363940,36,3969,3
10384736,196,3600,3
10406572,289,2025,3
10428404,64,361,3
10448176,16,3136,3
10468984,25,1,3
10486656,49,900,3
10506432,36,1156,3
10527212,9,729,3
10545940,1,225,3
10564664,49,4,3
10582340,1,961,3
10601064,36,324,3
10620824,49,484,3
10640592,1,729,3
10659296,16,36,3
10678008,1,289,3
10696748,36,225,3
10716504,36,49,3
10735224,25,100,3
10754972,81,225,3
10774736,9,256,3
10793468,49,576,3
10813220,36,1089,3
10834028,1,441,3
10852740,9,625,3
10871452,81,625,3
10891216,121,81,3
10910988,36,16,3
10929704,1,9,3
10946344,9,1,3
10962988,16,4,3
10980664,0,0,3
10997296,1,1,3
11013940,4,1,3
11030588,9,16,3
11048264,0,81,3
11065936,1,4,3
11082584,0,0,3
11099240,0,1,3
11115864,0,1,3
11132500,1,49,3
11150176,0,225,3
11168904,0,81,3
11186592,0,4,3
11203228,4,64,3
11220892,0,121,3
11239624,9,1,3
11256264,4,1,3
11272896,36,4,3
11290576,0,4,3
11307228,9,1,3
11323856,1,0,3
11340496,1,0,3
11357136,1,1,3
11373792,16,16,3
11392488,4,441,3
11411220,9,81,3
11428896,36,100,3
11448656,0,36,3
11466336,9,4,3
