Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
51600,14884,9025,6
53860,15376,2916,6
56132,9,324,6
58188,784,324,6
60668,576,225,6
78336,576,49,6
94980,100,100,6
112644,81,256,6
130344,256,1,6
146992,841,144,6
165704,225,16,6
183364,2025,121,6
203136,4096,25,6
221848,196,81,6
239532,144,25,6
257224,676,4,6
273848,841,121,6
292576,25,64,6
309208,256,0,6
325868,36,1,6
341456,625,4,6
358092,1369,16,6
376804,2304,49,6
395536,2304,64,6
414248,400,49,6
431932,49,0,6
447548,0,9,6
462100,169,36,6
479788,1764,36,6
498488,81,196,6
516180,1936,0,6
533852,2209,196,6
553612,81,25,6
570248,324,1,6
586920,49,4,6
602508,4,1,6
617044,1444,81,6
635780,400,64,6
653472,625,36,6
671128,900,49,6
688808,121,0,6
705448,289,4,6
722104,1521,0,6
739776,1369,100,6
759536,900,25,6
777224,81,4,6
792820,144,81,6
810484,784,16,6
828172,2304,25,6
846900,1024,25,6
865612,529,4,6
882260,2500,49,6
900980,3025,121,6
920736,841,16,6
938420,64,36,6
955064,81,49,6
971684,400,0,6
988344,0,0,6
1002900,529,0,6
1020584,169,25,6
1039296,36,1,6
1055940,81,0,6
1072580,324,9,6
1090264,1024,25,6
1110008,225,25,6
1128744,1,1,6
1144348,9,0,6
1159944,4,4,6
1175544,1,1,6
1191144,256,4,6
1208824,729,16,6
1227540,324,4,6
1245216,1,0,6
1260828,144,4,6
1278512,225,4,6
1296184,36,16,6
1313864,225,4,6
1331548,441,9,6
1349220,0,0,6
1364820,25,9,6
1381468,25,0,6
1398100,841,16,6
1416820,2025,49,6
1436576,1521,144,6
1457388,625,49,6
1476104,25,1,6
1492740,361,16,6
1511460,100,9,6
1529136,1225,25,6
1548908,961,36,6
1567616,121,4,6
1585304,121,4,6
1602980,676,16,6
1621696,81,36,6
1639376,169,0,6
1657060,0,1,6
1672660,100,9,6
1690336,225,1,6
1708008,729,4,6
1725700,529,81,6
1744424,441,36,6
1763140,81,4,6
1779792,4,1,6
1795388,1,1,6
1810988,0,0,6
1826584,4,1,6
1842184,49,1,6
1858824,81,4,6
1875460,4,1,6
1891060,1,4,6
1906656,49,1,6
1923284,16,0,6
1939920,49,0,6
1956560,361,0,6
1974248,1,9,6
1989864,1369,16,6
2009620,529,121,6
2029376,256,0,6
2047068,484,4,6
2064736,144,36,6
2083436,1849,16,6
2103204,3721,196,6
2124020,49,196,6
2142740,841,16,6
2161456,1936,16,6
2181224,484,0,6
2198900,256,4,6
2216584,169,0,6
2234264,1,0,6
2249872,1,1,6
2265460,4,1,6
2281052,0,4,6
2296664,0,16,6
2313312,1,1,6
2328896,0,0,6
2344500,1,1,6
2360088,25,0,6
2376744,1,1,6
2392336,169,16,6
2411056,784,49,6
2429776,1369,81,6
2449540,121,9,6
2467228,225,49,6
2485932,64,36,6
2503604,1,0,6
2519220,16,4,6
2535864,4,1,6
2551460,400,16,6
2570168,529,25,6
2588900,144,1,6
2606568,1296,121,6
2627380,225,49,6
2646112,25,4,6
2662748,4,0,6
2678344,16,4,6
2694976,225,0,6
2712652,900,16,6
2731380,225,100,6
2751128,1225,16,6
2770884,3969,324,6
2791704,1024,144,6
2812496,0,4,6
2828092,1,1,6
2843708,1,25,6
2860344,64,25,6
2878012,81,1,6
2894640,1849,25,6
2914420,6084,100,6
2935212,1225,289,6
2956016,0,36,6
2972652,4,4,6
2988260,4,25,6
3004900,169,1,6
3022572,1521,4,6
3041300,1849,100,6
3062096,169,16,6
3080820,1,0,6
3096420,9,9,6
3112044,576,1,6
3129704,441,121,6
3149460,36,16,6
3167132,49,0,6
3183772,289,36,6
3202500,64,9,6
3219136,400,9,6
3236820,961,64,6
3255540,2500,81,6
3275300,676,121,6
3295060,25,9,6
3311712,36,0,6
3328340,100,4,6
3346020,9,25,6
3362656,144,0,6
3380344,49,16,6
3398016,169,16,6
3416744,81,4,6
3433376,4,0,6
3448976,25,49,6
3466660,81,0,6
3483308,9,36,6
3499940,9,4,6
3515548,196,64,6
3534252,324,0,6
3551924,529,144,6
3571696,576,1,6
3589380,256,81,6
3608100,4,0,6
3623700,9,16,6
3640352,64,64,6
3658032,4,4,6
3673612,1156,1,6
3692328,4096,36,6
3712116,900,169,6
3731864,289,64,6
3750580,3721,25,6
3770316,0,1225,6
3789052,24336,2500,6
3811928,0,121,6
3829608,4624,144,6
3850416,2304,25,6
3870180,1,49,6
3886812,324,36,6
3905524,5329,49,6
3925304,5625,289,6
3946100,1681,196,6
3966892,225,9,6
3984580,361,9,6
4002256,1521,64,6
4022016,225,100,6
4041780,324,0,6
4059444,841,64,6
4078184,144,36,6
4096904,225,0,6
4114592,529,1,6
4132268,64,1,6
4148892,324,16,6
4167600,1225,169,6
4188412,1600,121,6
4209204,36,0,6
4225844,5776,169,6
4246660,2500,324,6
4267460,36,4,6
4284092,1024,9,6
4302804,8649,484,6
4323620,2916,324,6
4344416,400,4,6
4362092,1225,9,6
4380828,1,1,6
4396408,64,4,6
4413048,3844,49,6
4432792,121,16,6
4451524,3136,81,6
4471292,144,9,6
4488980,400,81,6
4507704,100,100,6
4527452,1600,144,6
4548256,900,9,6
4565928,4,64,6
4582576,484,25,6
4601292,0,0,6
4616900,900,25,6
4635608,576,16,6
4654340,256,25,6
4673068,16,64,6
4690740,81,9,6
4707392,81,16,6
4725052,225,9,6
4742724,3025,25,6
4762492,484,36,6
4781220,324,4,6
4798888,2116,16,6
4818656,3721,100,6
4839464,169,100,6
4859216,121,25,6
4877932,169,4,6
4895608,100,9,6
4913300,2704,225,6
4934096,784,361,6
4953848,625,0,6
4971532,961,36,6
4990252,121,64,6
5008964,36,25,6
5026648,121,9,6
5044348,64,1,6
5060988,729,0,6
5078652,25,0,6
5095300,16,25,6
5112976,0,16,6
