Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
8, 0
878347944, 1, 0
878365620, 0, 1
878383312, 1, 4
878400984, 0, 0
878418676, 4, 1916, 0, 0
878312612, 1, 0
878330280, 0, 0
878347944, 1, 0
878365620, 0, 1
878383312, 1, 4
878400984, 0, 0
878418676, 4, 1916, 0, 0
878312612, 1, 0
878330280, 0, 0
878347944, 1, 0
878365620, 0, 1
878383312, 1, 4
878400984, 0, 0
878418676, 4, 151612, 10609, 8836
53872, 9025, 3249
56096, 441, 196
58240, 100, 100
61704, 361, 529
79392, 324, 64
96028, 0, 36
110576, 144, 100
129312, 81, 16
145968, 16, 25
162600, 25, 9
178200, 4, 64
193792, 100, 4
210428, 25, 0
226036, 16, 16
242668, 25, 0
258288, 9, 9
272820, 36, 0
288428, 16, 1
304036, 4, 0
318604, 25, 0
334204, 1, 0
348752, 4, 0
363316, 1, 16
378924, 1, 0
393484, 4, 16
409064, 0, 0
423640, 4, 25
439236, 0, 1
453796, 0, 9
468356, 1, 9
482916, 4, 16
498508, 0, 1
513072, 4, 4
527632, 0, 16
543228, 0, 9
557784, 9, 9
572340, 4, 9
586916, 4, 4
601488, 1, 16
617076, 4, 0
631632, 1, 9
646196, 1, 1
660760, 4, 25
676356, 0, 0
690912, 1, 9
705468, 1, 0
720040, 1, 9
734592, 0, 0
749144, 4, 9
763720, 0, 1
778276, 4, 9
792848, 1, 1
807392, 4, 9
821964, 9, 4
836508, 0, 4
851072, 4, 16
866676, 1, 1
881240, 1, 16
896824, 0, 0
911392, 4, 16
926996, 0, 1
941552, 1, 4
956108, 0, 4
970660, 4, 16
986272, 4, 1
1000848, 0, 4
1016440, 9, 4
1032024, 9, 4
1047640, 0, 1
1063240, 4, 1
1078840, 0, 1
1094424, 0, 0
1110036, 4, 4
1125632, 0, 1
1141228, 0, 9
1156840, 1, 0
1172420, 0, 1
1188032, 0, 4
1203628, 0, 1
1219232, 0, 1
1234828, 0, 1
1250432, 0, 16
1267084, 1, 0
1282668, 0, 4
1298268, 0, 0
1313876, 1, 0
1329484, 1, 4
1345072, 1, 0
1360680, 1, 9
1376284, 1, 0
1391872, 0, 9
1407472, 1, 0
1423068, 1, 1
1438664, 0, 1
1454284, 1, 1
1469872, 1, 9
1485476, 0, 1
1501080, 1, 16
1517724, 1, 0
1533312, 0, 0
1548912, 1, 9
1564512, 1, 0
1580120, 0, 4
1595728, 4, 1
1611312, 1, 9
1626916, 1, 4
1642516, 0, 4
1658120, 0, 9
1673716, 1, 1
1689304, 0, 9
1704900, 9, 0
1720520, 4, 9
1736108, 0, 0
1751712, 0, 1
1767308, 0, 1
1782920, 4, 0
1798528, 1, 4
1814112, 1, 4
1829712, 0, 36
1846360, 1, 0
1861960, 0, 1
1877560, 1, 1
1893152, 1, 0
1908752, 1, 9
1924368, 1, 1
1939960, 0, 16
1956596, 4, 0
1972192, 0, 1
1987792, 0, 9
2003400, 1, 1
2018996, 0, 16
2035632, 4, 0
2051236, 4, 4
2066840, 1, 0
2082428, 4, 0
2098036, 1, 16
2114684, 4, 4
2130276, 4, 1
2145876, 0, 4
2161468, 0, 1
2177080, 1, 1
2192684, 0, 0
2208284, 1, 16
2224912, 4, 0
2240504, 1, 1
2256112, 0, 0
2271708, 0, 0
2287316, 1, 4
2302912, 1, 1
2318524, 0, 16
2335156, 9, 1
2350752, 1, 1
2366352, 0, 0
2381952, 4, 0
2397568, 1, 9
2413156, 0, 4
2428748, 0, 25
2445404, 4, 0
2460996, 0, 1
2476592, 0, 4
2492192, 1, 0
2507792, 4, 9
2523404, 1, 1
2538992, 0, 4
2554596, 1, 0
2570188, 1, 1
2585792, 0, 0
2601396, 0, 0
2616992, 4, 4
2632592, 1, 0
2648196, 0, 4
2663804, 4, 1
2679396, 1, 9
2694988, 0, 0
2710592, 1, 0
2726196, 0, 9
2741800, 1, 0
2757392, 0, 9
2772988, 4, 1
2788600, 1, 9
2804196, 0, 4
2819788, 0, 1
2835396, 1, 4
2850996, 0, 1
2866592, 0, 16
2883232, 4, 0
2898828, 1, 4
2914436, 0, 4
2930032, 1, 1
2945628, 4, 4
2961232, 1, 0
2976840, 4, 9
2992440, 1, 0
3008036, 1, 4
3023632, 0, 4
3039240, 1, 1
3054840, 4, 9
3070424, 0, 1
3086024, 4, 4
3101628, 1, 1
3117248, 1, 16
3133868, 0, 0
3149468, 0, 1
3165072, 1, 4
3180680, 1, 0
3196280, 1, 9
3211876, 4, 0
3227468, 4, 9
3243080, 0, 1
3258676, 0, 1
3274280, 0, 1
3289876, 4, 1
3305456, 1, 16
3322124, 1, 0
3337712, 0, 9
3353316, 1, 0
3368896, 0, 0
3384524, 1, 9
3400112, 4, 0
3415720, 4, 9
3431320, 1, 1
3446912, 1, 16
3463556, 0, 1
3479156, 1, 1
3494748, 0, 4
3510352, 1, 0
3525956, 0, 4
3541556, 4, 4
3557152, 0, 9
3572760, 1, 1
3588360, 1, 1
3603956, 1, 4
3619552, 1, 0
3635144, 0, 4
3650764, 1, 4
3666344, 0, 9
3681956, 1, 4
3697548, 0, 4
3713160, 4, 1
3728756, 0, 0
3744352, 1, 9
3759956, 1, 1
3775560, 1, 9
3791168, 1, 4
3806760, 1, 9
3822356, 1, 1
