Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53872,3364,9801,7
56096,196,484,7
58232,100,81,7
60672,484,400,7
78360,100,256,7
96024,49,1,7
110576,144,121,7
129316,4,100,7
145964,49,16,7
162596,9,49,7
178200,25,1,7
193788,49,49,7
210428,1,9,7
224996,25,4,7
240588,9,16,7
256204,4,0,7
270752,25,9,7
286340,0,1,7
300916,9,1,7
315484,1,9,7
330044,0,1,7
344600,9,1,7
359152,0,4,7
373708,4,0,7
388284,0,4,7
402840,0,0,7
417396,1,4,7
431952,0,1,7
446512,1,0,7
461072,1,1,7
475632,0,1,7
490188,0,1,7
504752,1,0,7
519308,0,0,7
533872,0,0,7
548428,0,0,7
562984,0,0,7
577552,0,0,7
592116,0,0,7
606664,0,0,7
621224,0,0,7
635792,0,1,7
650348,0,0,7
664908,0,0,7
679464,0,0,7
694028,0,0,7
708588,1,0,7
723152,0,0,7
737708,0,0,7
752264,0,0,7
766828,0,1,7
781392,0,0,7
795948,0,0,7
810520,0,1,7
825064,0,0,7
839624,0,0,7
854188,0,0,7
868752,0,1,7
883304,0,1,7
897876,1,25,7
913468,0,9,7
928032,4,0,7
942596,16,9,7
958196,4,9,7
972748,1,0,7
987316,1,0,7
1001884,0,1,7
1017476,1,4,7
1033080,1,1,7
1048672,1,0,7
1064272,0,1,7
1079864,0,0,7
1095464,0,0,7
1111072,0,1,7
1126672,0,0,7
1142264,0,1,7
1157864,0,4,7
1173468,0,4,7
1189072,0,0,7
1204664,0,1,7
1220264,0,0,7
1235868,0,0,7
1251468,0,0,7
1267072,0,0,7
1282672,0,0,7
1298260,0,0,7
1313872,0,0,7
1329476,0,0,7
1345076,1,0,7
1360668,0,0,7
1376272,0,0,7
1391880,0,1,7
1407472,0,1,7
1423072,0,1,7
1438656,0,0,7
1454272,0,0,7
1469868,0,0,7
1485476,0,1,7
1501076,0,1,7
1516680,0,1,7
1532276,0,1,7
1547876,0,1,7
1563472,0,0,7
1579076,0,0,7
1594680,0,1,7
1610284,1,0,7
1625868,0,1,7
1641464,0,0,7
1657072,0,0,7
1672660,0,0,7
1688264,0,0,7
1703868,0,1,7
1719484,0,1,7
1735072,1,0,7
1750664,0,0,7
1766264,0,0,7
1781880,0,1,7
1797480,0,0,7
1813072,0,0,7
1828676,0,1,7
1844272,0,0,7
1859868,0,1,7
1875476,1,0,7
1891064,0,0,7
1906672,0,0,7
1922288,0,0,7
1937860,0,0,7
1953472,0,0,7
1969072,0,0,7
1984688,1,4,7
2000272,0,4,7
2015872,0,0,7
2031472,0,1,7
2047084,0,1,7
2062684,0,1,7
2078272,0,4,7
2093872,0,1,7
2109484,0,1,7
2125088,0,0,7
2140676,0,4,7
2156268,0,4,7
2171860,0,0,7
2187476,0,0,7
2203076,0,1,7
2218672,0,4,7
2234268,0,0,7
2249868,0,1,7
2265472,0,1,7
2281064,0,0,7
2296672,0,1,7
2312272,1,0,7
2327868,0,0,7
2343464,0,0,7
2359060,0,1,7
2374676,1,0,7
2390276,0,0,7
2405872,0,0,7
2421472,0,0,7
2437068,0,1,7
2452688,0,0,7
2468276,0,0,7
2483872,0,0,7
2499472,0,0,7
2515076,0,4,7
2530684,0,4,7
2546276,0,1,7
2561872,0,0,7
2577468,0,0,7
2593068,0,0,7
2608672,0,0,7
2624268,0,0,7
2639856,0,0,7
2655472,0,0,7
2671072,0,0,7
2686676,0,0,7
2702264,0,1,7
2717872,0,4,7
2733472,0,1,7
2749064,0,0,7
2764672,0,1,7
2780288,0,1,7
2795880,0,0,7
2811468,1,0,7
2827072,0,1,7
2842672,0,1,7
2858272,0,0,7
2873880,0,1,7
2889472,0,1,7
2905068,0,1,7
2920680,0,1,7
2936268,0,0,7
2951872,0,1,7
2967468,0,0,7
2983080,0,1,7
2998668,0,1,7
3014264,0,0,7
3029868,0,0,7
3045484,0,0,7
3061076,0,0,7
3076668,0,0,7
3092268,0,0,7
3107872,0,1,7
3123472,0,0,7
3139068,0,0,7
3154660,0,1,7
3170268,0,1,7
3185872,0,0,7
3201464,0,0,7
3217064,0,0,7
3232664,0,1,7
3248284,0,0,7
3263884,0,1,7
3279468,0,0,7
3295060,0,0,7
3310676,0,0,7
3326276,0,0,7
3341872,0,1,7
3357464,0,0,7
3373076,0,0,7
3388676,0,0,7
3404276,0,1,7
3419872,0,0,7
3435464,0,0,7
3451072,0,0,7
3466664,0,0,7
3482272,0,1,7
3497860,0,0,7
3513468,0,0,7
3529076,1,0,7
3544672,0,0,7
3560264,0,0,7
3575872,0,0,7
3591472,0,0,7
3607080,0,0,7
3622664,0,0,7
3638256,0,0,7
3653872,0,1,7
3669468,0,0,7
3685072,0,0,7
3700664,0,0,7
3716280,1,1,7
3731876,1,0,7
3747472,0,0,7
3763076,0,0,7
3778672,0,0,7
3794280,0,1,7
3809864,0,0,7
3825468,0,0,7
3841076,1,0,7
3856672,0,0,7
3872284,0,1,7
3887876,0,1,7
3903468,0,1,7
3919080,0,0,7
3934664,0,0,7
3950276,1,0,7
3965868,0,1,7
3981476,0,0,7
3997072,0,0,7
4012672,0,1,7
4028276,0,0,7
4043876,0,0,7
4059484,1,0,7
4075076,1,1,7
4090664,0,4,7
4106280,0,1,7
4121884,0,0,7
4137464,0,0,7
4153072,0,0,7
4168664,0,0,7
4184280,0,1,7
4199872,0,0,7
4215468,0,0,7
4231064,0,1,7
4246676,0,1,7
4262272,0,1,7
4277864,1,0,7
4293468,0,0,7
4309072,0,0,7
4324672,0,0,7
4340272,0,0,7
4355872,0,0,7
4371472,0,0,7
4387072,0,0,7
4402672,0,1,7
4418272,0,1,7
4433856,0,0,7
4449472,0,0,7
4465060,0,0,7
4480664,0,0,7
4496272,0,1,7
4511876,1,0,7
4527476,0,0,7
4543072,0,0,7
4558672,0,1,7
4574276,1,0,7
4589876,0,0,7
4605484,0,0,7
4621072,0,0,7
4636664,0,1,7
4652276,0,0,7
4667864,0,0,7
4683464,0,1,7
4699068,0,1,7
4714672,0,1,7
4730280,1,0,7
4745876,0,1,7
4761472,0,0,7
4777072,0,0,7
4792672,0,0,7
4808276,0,0,7
4823876,0,0,7
4839488,0,0,7
4855076,0,0,7
4870684,0,1,7
4886280,0,1,7
4901864,0,0,7
4917484,0,1,7
4933076,0,0,7
4948676,0,0,7
4964272,1,0,7
4979868,0,0,7
4995472,0,0,7
5011072,0,0,7
5026672,0,0,7
5042276,1,0,7
5057876,0,1,7
5073460,0,0,7
5089076,0,1,7
5104676,0,1,7
5120276,0,0,7
5135864,0,0,7
5151472,0,0,7
5167064,0,1,7
5182672,0,0,7
5198272,0,0,7
5213872,0,1,7
5229464,0,1,7
5245068,0,0,7
5260676,1,0,7
5276264,0,0,7
5291864,0,0,7
5307480,0,1,7
5323080,0,1,7
5338672,0,1,7
5354264,0,0,7
5369872,0,0,7
5385476,0,0,7
5401072,0,0,7
5416660,0,0,7
5432268,0,1,7
5447880,0,0,7
5463472,0,0,7
5479060,0,0,7
5494664,0,0,7
5510276,1,0,7
5525872,0,0,7
5541468,0,0,7
5557072,0,1,7
5572672,1,0,7
5588268,0,0,7
5603880,0,1,7
5619476,0,1,7
5635056,0,0,7
5650676,0,1,7
5666276,0,1,7
5681864,0,0,7
5697460,0,0,7
5713072,0,0,7
5728672,0,0,7
5744264,0,0,7
5759860,0,0,7
5775472,1,0,7
5791076,0,0,7
5806676,0,1,7
5822268,0,0,7
5837868,0,0,7
5853472,0,0,7
5869068,0,0,7
5884668,1,0,7
5900268,0,0,7
5915872,0,1,7
5931468,1,0,7
5947068,1,0,7
5962672,0,1,7
5978276,0,1,7
5993872,0,0,7
6009472,0,0,7
6025064,0,0,7
6040672,0,0,7
6056280,0,0,7
6071876,1,1,7
6087468,0,0,7
6103080,0,0,7
6118668,0,0,7
6134264,0,0,7
6149876,0,1,7
6165468,0,1,7
6181072,0,0,7
6196664,0,0,7
6212276,1,1,7
6227868,0,1,7
6243472,0,0,7
6259080,0,1,7
6274676,0,1,7
6290280,0,1,7
6305876,0,0,7
6321472,0,0,7
6337064,0,0,7
6352676,0,0,7
6368272,0,0,7
6383872,0,0,7
6399464,0,0,7
6415064,0,0,7
6430660,0,0,7
6446284,0,0,7
6461872,0,0,7
6477468,0,0,7
6493064,0,0,7
6508676,0,0,7
6524272,0,0,7
6539864,0,0,7
6555468,0,1,7
6571084,0,0,7
6586684,0,1,7
6602284,1,1,7
6617872,0,0,7
6633460,1,0,7
6649076,0,0,7
6664668,0,0,7
6680272,0,0,7
6695868,0,1,7
6711480,0,0,7
6727076,0,0,7
6742668,0,0,7
6758260,0,0,7
6773872,0,1,7
6789476,0,0,7
6805072,0,0,7
6820664,0,0,7
6836280,0,1,7
6851872,0,0,7
6867484,0,1,7
6883076,0,1,7
6898668,0,1,7
6914272,0,0,7
6929864,0,0,7
6945468,1,0,7
6961064,0,0,7
6976676,0,0,7
6992272,0,0,7
7007876,0,0,7
7023468,0,0,7
7039080,0,0,7
7054672,0,0,7
7070264,1,0,7
7085860,0,1,7
7101476,0,4,7
7117084,0,4,7
7132672,1,9,7
7148276,1,9,7
7163864,0,1,7
7179476,1,0,7
7195068,0,1,7
7210672,0,9,7
7226264,0,4,7
7241872,0,4,7
7257468,0,1,7
7273064,0,0,7
7288676,1,0,7
7304284,0,0,7
7319880,0,0,7
7335472,0,0,7
7351068,1,0,7
7366680,1,0,7
7382272,0,0,7
7397872,0,1,7
7413464,0,0,7
7429060,0,0,7
7444668,0,0,7
7460264,0,0,7
7475860,0,0,7
7491480,0,1,7
7507084,0,1,7
7522672,0,0,7
7538264,0,0,7
7553868,0,0,7
7569468,0,0,7
7585072,0,0,7
7600680,0,1,7
7616272,0,1,7
7631868,0,0,7
7647472,0,0,7
7663072,0,0,7
7678668,0,0,7
7694264,0,1,7
7709872,0,0,7
7725472,0,0,7
7741080,1,1,7
7756676,0,1,7
7772280,0,1,7
7787872,0,1,7
7803464,0,0,7
7819068,0,0,7
7834668,0,0,7
7850272,0,0,7
7865872,0,0,7
7881472,0,0,7
7897056,0,0,7
7912672,0,0,7
7928264,0,0,7
7943868,0,0,7
7959468,0,0,7
7975076,0,0,7
7990676,0,0,7
8006276,0,4,7
8021872,0,0,7
8037472,0,0,7
8053072,0,4,7
8068676,0,4,7
8084272,0,1,7
8099872,0,0,7
8115480,0,1,7
8131072,0,0,7
8146664,0,0,7
8162268,0,0,7
8177880,0,0,7
8193476,1,0,7
8209068,0,0,7
8224672,0,0,7
8240276,0,0,7
8255872,1,0,7
8271464,1,0,7
8287060,0,0,7
8302676,1,0,7
8318268,0,0,7
8333864,1,4,7
8349472,1,0,7
8365072,0,0,7
8380668,0,0,7
8396276,0,1,7
8411868,0,0,7
8427464,0,0,7
8443076,0,0,7
8458660,0,0,7
8474264,0,0,7
8489876,0,0,7
8505484,0,1,7
8521080,0,0,7
8536676,1,0,7
8552260,0,0,7
8567872,0,0,7
8583476,1,0,7
8599080,0,0,7
8614664,0,0,7
8630260,0,0,7
8645888,0,1,7
8661476,0,0,7
8677068,0,1,7
8692668,0,0,7
8708272,0,0,7
8723884,0,0,7
8739472,0,0,7
8755072,0,1,7
8770672,0,0,7
8786276,0,0,7
8801872,0,1,7
8817468,0,1,7
8833072,0,1,7
8848672,0,4,7
8864280,0,0,7
8879860,0,0,7
8895456,0,0,7
8911084,1,1,7
8926672,1,1,7
8942260,0,0,7
8957860,1,0,7
8973480,0,0,7
8989072,0,0,7
9004676,0,0,7
9020280,1,0,7
9035876,0,0,7
9051472,0,0,7
9067076,0,0,7
9082676,0,0,7
9098280,0,0,7
9113868,0,0,7
9129464,0,1,7
9145076,0,1,7
9160668,0,0,7
9176268,0,0,7
9191868,0,0,7
9207460,0,0,7
9223060,0,0,7
9238668,0,0,7
9254272,0,0,7
9269864,0,0,7
9285464,0,0,7
9301068,0,0,7
9316668,0,0,7
9332264,0,0,7
9347864,0,0,7
9363472,0,0,7
9379072,0,0,7
9394668,0,0,7
9410260,0,0,7
9425860,0,0,7
9441476,1,0,7
9457060,0,0,7
9472672,0,1,7
9488264,0,0,7
9503872,0,0,7
9519472,0,0,7
9535064,0,0,7
9550672,0,0,7
9566276,0,0,7
9581872,0,0,7
9597476,0,0,7
9613072,0,0,7
9628668,0,1,7
9644272,0,0,7
9659872,0,0,7
9675464,0,0,7
9691064,0,1,7
9706672,0,0,7
9722272,0,0,7
9737864,0,0,7
9753472,0,0,7
9769072,0,0,7
9784672,0,0,7
9800264,0,0,7
9815868,0,0,7
9831480,0,1,7
9847072,0,1,7
9862668,0,0,7
9878272,0,4,7
9893856,0,0,7
9909480,0,1,7
9925064,0,1,7
9940664,0,1,7
9956260,0,0,7
9971880,0,1,7
9987476,0,0,7
10003072,0,0,7
10019704,0,0,7
10036348,0,0,7
10052992,0,0,7
10069624,0,0,1
10086268,1,0,1
10102912,0,1,1
10119560,0,1,1
10136188,0,1,1
10152832,0,1,1
10169476,1,0,1
10186120,0,0,1
10202752,0,1,1
10219384,0,0,1
10236036,0,0,1
10252676,0,0,1
10269312,0,1,1
10285948,0,4,1
10302596,0,0,1
10319232,0,0,1
10335864,0,0,1
10352512,0,1,1
10369148,0,1,1
10385792,0,1,1
10402424,0,0,1
10419068,0,0,1
10435712,0,0,1
10452364,1,1,1
10468992,0,1,1
10485632,0,1,1
10502272,0,0,1
10518908,0,0,1
10535544,1,1,1
10552192,1,0,1
10568828,0,0,1
10585472,0,0,1
10602112,0,0,1
10618752,0,0,1
10635388,0,0,1
10652040,0,1,1
10668668,0,0,1
10685316,0,0,1
10701956,0,0,1
10718588,0,0,1
10735224,0,0,1
10751864,0,0,1
10768512,0,0,1
10785152,0,0,1
10801784,0,0,1
10818424,0,0,1
10835076,0,1,1
10851720,0,1,1
10868356,0,1,1
10884992,0,1,1
10901632,4,4,1
10918284,1,1,1
10934908,1,9,1
10951548,4,36,1
10969248,0,4,1
10985876,4,9,1
11002508,9,36,1
11020188,4,1,1
11036840,0,9,1
11053468,0,4,1
11070116,1,4,1
11086748,4,49,1
11104448,1,16,1
11122104,4,0,1
11138744,4,0,1
11155380,0,0,1
11172044,4,25,1
11189712,1,25,1
11207396,0,0,1
11224032,64,4,1
11241728,121,36,1
11261480,25,144,1
11281240,1,0,1
11297884,0,25,1
11315564,1,0,1
11332192,4,4,1
11348832,0,16,1
11366524,0,16,1
11384208,1,1,1
11400836,1,0,1
11417476,1,0,1
11434116,1,0,1
11450764,1,9,1
11467396,0,16,1
11485076,9,4,1
11501716,1,9,1
11518352,36,4,1
11536036,1,1,1
11552672,1,9,1
11569316,9,4,1
11585956,36,1,1
11603640,1,1,1
11620264,0,0,1
11636916,9,9,1
11653556,64,9,1
11671232,36,64,1
11689944,4,4,1
11706592,4,0,1
11723228,9,36,1
11740908,9,25,1
11758580,9,1,1
11775240,4,25,1
11792912,0,16,1
11810588,4,16,1
11828276,16,25,1
11847004,9,1,1
11863628,9,9,1
11880276,25,16,1
11898992,9,9,1
11915636,1,9,1
11932276,9,16,1
11949948,9,4,1
11966600,0,144,1
11985316,4,49,1
12002996,1,0,1
12019628,4,1,1
12036276,9,25,1
12053948,4,121,1
12072668,9,64,1
12090340,16,16,1
12109072,0,0,1
12125724,16,0,1
12143396,4,0,1
12160048,1,4,1
12176680,0,4,1
12193328,1,1,1
12209956,4,4,1
12226600,4,1,1
12243244,4,1,1
12259884,4,1,1
12276516,4,1,1
12293164,16,25,1
12311884,1,36,1
12329552,36,25,1
12348272,9,1,1
12364928,4,1,1
12381556,16,0,1
12399228,1,0,1
12415876,0,4,1
12432520,0,64,1
12450196,4,16,1
12467876,0,0,1
12484512,1,1,1
12501164,16,1,1
12518840,1,4,1
12535480,1,0,1
12552116,4,0,1
12568764,9,4,1
12585396,1,1,1
12602028,36,0,1
12619704,4,4,1
12636360,36,9,1
12654036,196,0,1
12672752,36,1,1
12690428,1,4,1
12707072,1,0,1
12723704,0,0,1
12740348,1,4,1
