Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53856,9409,2809,6
56080,196,225,6
58212,9,121,6
60256,441,484,6
77296,324,144,6
94976,1,25,6
109532,121,100,6
128268,49,36,6
144908,4,4,6
159468,256,4,6
176104,256,1,6
192740,4,64,6
208340,225,4,6
224988,169,9,6
241612,4,4,6
256180,1,1,6
270744,0,0,6
285304,144,16,6
302976,121,1,6
319628,1,36,6
335228,25,1,6
350824,121,9,6
367460,1,25,6
383064,0,9,6
397624,144,1,6
414260,361,49,6
431944,0,16,6
447544,81,1,6
463140,100,4,6
479784,36,36,6
496420,16,0,6
512032,169,16,6
529700,256,81,6
547376,225,16,6
565056,289,9,6
581712,9,0,6
596264,16,1,6
611876,4,9,6
626424,4,4,6
640964,0,16,6
656584,25,16,6
673216,49,1,6
688828,64,0,6
704420,121,36,6
722104,64,25,6
738744,81,9,6
754332,49,4,6
769940,36,1,6
785544,225,0,6
802184,169,25,6
819864,4,0,6
834428,225,4,6
851064,841,49,6
868748,529,36,6
886420,64,9,6
902020,1,64,6
917624,25,0,6
933228,484,49,6
950900,196,4,6
967544,9,1,6
982096,81,36,6
998740,4,4,6
1013300,4,16,6
1029948,16,1,6
1046584,100,4,6
1064268,9,0,6
1079852,196,4,6
1097540,100,1,6
1115228,225,9,6
1132908,16,0,6
1149540,9,16,6
1166180,169,16,6
1184900,1,4,6
1200500,25,9,6
1217140,0,16,6
1233776,9,4,6
1249384,81,25,6
1267056,36,25,6
1284740,4,0,6
1300336,4,25,6
1316988,0,1,6
1332592,64,25,6
1350260,361,0,6
1367940,256,16,6
1386660,289,9,6
1404336,576,1,6
1422016,81,100,6
1440736,144,36,6
1459464,81,1,6
1476088,1024,81,6
1495864,16,25,6
1513536,256,9,6
1531220,196,4,6
1548892,64,0,6
1565540,0,1,6
1581140,81,49,6
1598816,361,0,6
1616500,121,4,6
1634180,4,9,6
1649784,169,81,6
1668516,25,9,6
1685144,100,25,6
1703844,36,16,6
1721540,484,4,6
1739220,25,0,6
1755864,49,1,6
1772492,49,0,6
1789156,1,16,6
1805772,121,9,6
1823460,100,0,6
1841124,169,9,6
1858816,64,0,6
1875448,36,0,6
1892112,64,49,6
1909788,4,0,6
1925384,25,4,6
1942020,49,100,6
1960732,121,4,6
1978432,81,9,6
1995064,16,36,6
2012740,169,4,6
2030424,64,4,6
2047072,49,1,6
2063708,4,16,6
2080340,9,4,6
2095932,36,1,6
2112576,289,25,6
2131304,225,16,6
2150024,169,36,6
2168736,0,1,6
2184340,144,36,6
2203052,64,0,6
2219696,49,1,6
2236332,256,49,6
2255064,484,16,6
2273780,441,9,6
2291460,36,4,6
2308092,81,36,6
2325788,36,1,6
2342424,0,16,6
2359048,36,25,6
2376736,25,16,6
2394428,64,1,6
2411060,1,49,6
2427696,64,9,6
2444344,16,64,6
2462028,25,16,6
2479704,0,16,6
2496340,81,16,6
2514028,4,9,6
2529628,289,64,6
2548336,121,64,6
2567064,25,0,6
2583708,169,4,6
2601380,324,9,6
2619064,16,4,6
2635692,81,1,6
2652336,9,0,6
2667944,36,16,6
2685616,100,16,6
2704340,0,1,6
2719948,121,49,6
2738664,576,36,6
2757376,81,25,6
2775056,36,0,6
2791708,169,9,6
2809388,36,16,6
2827060,25,1,6
2843700,324,36,6
2862424,441,25,6
2881140,16,1,6
2897784,1,1,6
2913388,1,49,6
2930020,4,1,6
2945620,0,0,6
2961212,0,49,6
2977868,49,4,6
2994500,0,36,6
3011140,169,4,6
3028828,36,0,6
3045468,1,0,6
3061060,9,9,6
3076656,0,4,6
3092260,25,16,6
3109944,100,1,6
3127620,4,1,6
3143232,100,4,6
3160896,36,0,6
3177536,169,25,6
3196260,196,25,6
3214968,36,9,6
3231620,0,16,6
3248264,64,25,6
3265956,16,1,6
3282584,64,25,6
3300256,256,49,6
3318976,0,36,6
3335620,100,0,6
3353304,1,9,6
3368900,1,4,6
3384504,0,4,6
3400104,4,16,6
3416728,144,0,6
3434408,25,16,6
3452108,4,0,6
3467696,0,25,6
3484336,256,1,6
3502016,225,25,6
3520756,1,0,6
3536332,25,25,6
3554016,36,36,6
3571692,16,1,6
3588344,100,16,6
3607060,49,1,6
3623692,81,1,6
3640344,361,9,6
3658028,289,9,6
3675700,49,4,6
3692340,4,1,6
3707944,25,9,6
3724584,144,0,6
3742252,4,0,6
3757852,36,36,6
3775540,9,0,6
3791148,0,9,6
3806744,25,16,6
3824420,1,0,6
3840028,0,16,6
3856660,225,9,6
3874336,361,9,6
3892016,36,0,6
3908668,49,9,6
3925308,25,16,6
3942976,64,16,6
3960656,400,16,6
3979384,121,4,6
3997072,0,9,6
4012656,36,4,6
4029300,36,16,6
4046988,36,0,6
4063620,16,0,6
4080264,9,9,6
4095852,16,25,6
4113540,0,9,6
4129144,0,25,6
4145780,0,1,6
4161376,4,1,6
4176976,25,36,6
4194664,9,1,6
4210264,81,4,6
4226904,36,4,6
4243556,4,0,6
4259140,49,25,6
4276820,49,0,6
4293456,169,9,6
4311148,9,0,6
4326748,1,9,6
4342336,0,0,6
4357940,1,36,6
4374576,4,0,6
4390180,4,0,6
4405792,1,49,6
4422420,16,9,6
4439068,400,16,6
4457776,400,16,6
4476500,0,16,6
4493136,196,16,6
4511868,484,36,6
4530588,169,0,6
4548264,1,16,6
4564892,25,9,6
4581544,36,25,6
4599216,324,36,6
4617940,1,9,6
4633528,169,1,6
4651228,49,9,6
4667864,9,0,6
4683456,49,16,6
4701132,25,16,6
4718820,121,0,6
4736488,49,16,6
4754172,144,1,6
4771860,81,0,6
4788500,36,25,6
4806188,4,25,6
4822816,100,1,6
4840500,64,64,6
4858176,144,36,6
4876888,169,25,6
4895624,36,1,6
4912264,256,1,6
4929944,49,1,6
4946584,196,4,6
4964260,144,0,6
4981960,1,1,6
4997544,25,25,6
5015212,9,1,6
5030808,9,0,6
5046416,0,25,6
5063064,25,9,6
5079700,169,16,6
5098412,49,0,6
5115072,1,16,6
5131692,16,0,6
5148344,1,25,6
5164976,49,9,6
5181632,9,0,6
5197224,169,49,6
5215932,81,0,6
5232576,144,9,6
5250268,289,36,6
5268968,144,4,6
5286660,36,25,6
5304348,16,0,6
5320992,64,1,6
5337624,0,9,6
5353220,25,9,6
5369872,1,9,6
5385472,1,9,6
5401056,36,1,6
5417704,81,36,6
5435364,9,0,6
5450980,16,1,6
5467628,196,25,6
5486340,9,1,6
5501936,1,16,6
5518596,1,16,6
5535208,100,25,6
5553940,25,4,6
5570592,16,1,6
5587228,0,1,6
5602824,9,9,6
5618428,4,1,6
5634012,49,64,6
5651708,1,9,6
5667300,25,9,6
5683944,25,1,6
5700576,1,0,6
5716192,121,49,6
5734892,36,4,6
5751540,4,9,6
5767132,0,25,6
5783788,25,16,6
5801460,0,1,6
5817064,196,9,6
5834724,121,4,6
5852420,9,1,6
5868020,121,4,6
5885700,289,4,6
5903388,196,0,6
5921068,64,9,6
5937708,1,25,6
5954328,16,36,6
5972032,0,1,6
5987624,36,9,6
6004260,0,4,6
6019852,49,4,6
6036504,100,16,6
6055220,196,4,6
6072888,81,0,6
6089540,9,0,6
6105148,36,9,6
6121788,25,9,6
6138424,25,0,6
6155052,25,16,6
6172744,0,4,6
6188340,1,1,6
6203948,49,25,6
6221620,49,1,6
6238264,4,1,6
6253868,1,16,6
6270508,4,1,6
6286100,36,9,6
6302748,1,1,6
6318348,0,1,6
6333932,1,36,6
6350572,1,1,6
6366176,0,4,6
6381788,4,4,6
6397388,16,1,6
6414016,100,25,6
6432736,9,9,6
6448336,49,16,6
6466012,100,4,6
6483700,9,9,6
6499288,25,4,6
6515952,1,25,6
6532572,9,16,6
6549212,64,1,6
6565848,36,4,6
6582500,16,16,6
6600184,81,0,6
6616824,81,0,6
6633452,9,49,6
6650112,1,1,6
6665704,9,4,6
6681304,196,64,6
6700008,100,4,6
6717700,1,0,6
6733304,25,49,6
6750968,169,9,6
6768668,169,36,6
6787384,16,0,6
6804020,1,9,6
6819612,16,9,6
6836264,121,36,6
6854984,9,0,6
6870576,0,25,6
6887228,64,36,6
6904904,9,4,6
6920508,36,25,6
6938176,100,1,6
6955864,64,0,6
6972500,49,25,6
6990184,36,0,6
7006824,100,9,6
7024496,0,0,6
7040100,121,25,6
7058824,16,1,6
7075468,4,4,6
7091056,9,49,6
7107700,49,16,6
7125384,0,4,6
7140984,0,9,6
7156584,9,1,6
7172184,0,49,6
7188832,4,0,6
7204416,36,16,6
7222096,4,0,6
7237696,0,16,6
7254344,0,9,6
7269940,144,36,6
7288660,324,36,6
7307388,4,9,6
7322988,1,4,6
7338580,1,25,6
7355224,9,9,6
7370832,64,36,6
7388504,100,36,6
7407228,1,9,6
7422824,1,16,6
7439460,1,4,6
7455064,9,0,6
7470648,16,81,6
7488328,49,9,6
7504980,25,0,6
7521632,25,9,6
7538260,36,4,6
7554896,100,4,6
7572580,81,25,6
7590268,1,4,6
7605864,25,4,6
7622504,1,4,6
7638112,16,25,6
7655780,0,16,6
7672412,4,4,6
7688012,9,25,6
7704668,1,16,6
7721312,121,16,6
7740028,100,4,6
7757704,49,4,6
7774344,100,0,6
7792020,49,25,6
7809700,0,1,6
7825300,49,1,6
7841952,1,1,6
7857552,9,36,6
7874184,4,16,6
7890812,25,16,6
7908504,1,0,6
7924108,0,9,6
