Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53868,9801,3600,3
56104,625,121,3
58236,81,144,3
60672,400,361,3
78364,324,121,3
96032,1,49,3
110576,169,169,3
129320,64,0,3
144924,1,49,3
160520,64,1,3
176112,1,25,3
191712,64,25,3
208348,9,4,3
222916,1,49,3
238512,9,1,3
253084,4,4,3
267632,16,4,3
283228,9,0,3
297796,4,9,3
312360,16,0,3
327960,1,0,3
342516,1,1,3
357068,4,0,3
371624,4,0,3
386196,0,4,3
400768,0,0,3
415316,0,9,3
429876,4,1,3
444448,1,1,3
459004,1,16,3
474596,0,1,3
489144,25,16,3
505792,16,9,3
521408,4,1,3
535956,49,4,3
551556,25,9,3
567156,1,9,3
581712,0,0,3
596284,25,1,3
611880,9,0,3
626440,36,1,3
642032,64,0,3
657632,9,0,3
672192,1,0,3
686748,1,0,3
701308,9,4,3
715872,4,25,3
731484,9,36,3
747084,16,36,3
763716,1,9,3
778276,0,1,3
792836,4,1,3
807384,0,0,3
821956,9,4,3
836512,9,9,3
851076,9,9,3
865640,4,81,3
881232,4,81,3
896832,49,16,3
913480,25,1,3
929080,36,1,3
944684,196,121,3
963396,100,225,3
982120,25,0,3
997716,25,100,3
1015388,361,0,3
1033068,2304,36,3
1052832,1849,64,3
1072592,400,16,3
1091308,1936,121,3
1112116,400,9,3
1129768,1028,289,3
1150524,29584,14641,3
1174488,7569,8993,3
1196332,3844,29241,3
1219220,100,400,3
1238972,324,3025,3
1259780,961,4624,3
1280568,81,16129,3
1301368,529,144,3
1321120,784,1681,3
1341928,784,25,3
1360664,196,900,3
1380424,1089,529,3
1401220,36,100,3
1419928,484,625,3
1439684,324,25,3
1458420,49,289,3
1477148,361,196,3
1496904,0,121,3
1514596,16129,15129,3
1538484,0,0,3
1554088,26273,19617,3
1578004,0,3201,3
1596724,5184,0,3
1615452,0,100,3
1633128,676,28224,3
1654956,21904,31684,3
1678864,16900,30976,3
1702788,5041,0,3
1721528,9604,0,3
1740244,2500,15376,3
1763104,7921,0,3
1781852,36,0,3
1798496,10404,8464,3
1821360,1764,2025,3
1843168,784,0,3
1860892,1369,17924,3
1883776,12996,14553,3
1907676,16641,2304,3
1930568,576,16129,3
1952416,169,100,3
1972172,16,484,3
1990900,400,100,3
2010660,1,225,3
2028328,441,484,3
2048104,225,4,3
2065788,81,225,3
2084496,225,81,3
2103228,0,0,3
2118808,0,20449,3
2138568,0,4761,3
2157292,64,1,3
2173944,5625,484,3
2194732,29584,2116,3
2217616,8100,289,3
2238416,225,9,3
2256108,169,169,3
2275868,64,4,3
2292492,0,0,3
2308088,19321,0,3
2327856,4489,25,3
2347616,1,400,3
2365304,225,1,3
2382952,0,1444,3
2401688,0,26244,3
2421452,5041,0,3
2440148,8464,28224,3
2463056,23409,7569,3
2485932,10816,30276,3
2509860,324,25281,3
2531696,5929,225,3
2552504,144,3025,3
2573288,0,14161,3
2593060,0,22801,3
2612828,16900,100,3
2634636,0,676,3
2652352,32433,23409,3
2676248,14852,0,3
