Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53860,9025,4356,6
56092,529,25,6
58188,144,484,6
60660,289,169,6
78332,361,144,6
96012,49,64,6
111604,576,225,6
130344,9,16,6
145952,4,16,6
161548,49,16,6
178164,0,100,6
194816,64,900,6
212496,4,784,6
229136,4,256,6
245784,64,4,6
261372,25,100,6
279056,81,196,6
296748,49,529,6
314420,9,400,6
331060,225,64,6
348732,16,4,6
364340,256,484,6
383052,16,2500,6
401772,49,1444,6
420500,1,196,6
437140,49,169,6
454824,169,36,6
472488,36,81,6
489148,16,64,6
505776,0,225,6
522428,25,529,6
540088,289,1444,6
559864,196,576,6
578584,25,81,6
595228,9,841,6
611864,9,1521,6
629524,36,676,6
647208,121,1296,6
666988,81,1156,6
685696,9,2704,6
703364,0,4624,6
721060,64,121,6
738740,169,1521,6
758500,16,324,6
776172,81,49,6
792824,1,1,6
807384,9,81,6
822980,4,1,6
837532,1,1521,6
855228,64,1600,6
873936,196,169,6
892652,4,36,6
908248,4,400,6
924908,144,2809,6
944648,256,289,6
963380,49,1444,6
982100,25,3249,6
1000824,49,3844,6
1020580,64,2209,6
1040320,49,361,6
1059056,0,4,6
1074664,1,16,6
1091296,36,324,6
1110024,4,1,6
1125632,4,16,6
1142264,1,121,6
1159944,9,25,6
1176584,0,49,6
1193224,49,841,6
1211936,0,1296,6
1230668,49,4,6
1247300,1,784,6
1264980,1,36,6
1281616,25,225,6
1300332,25,841,6
1319048,100,4624,6
1339844,361,2304,6
1360656,144,784,6
1380428,9,225,6
1398108,4,121,6
1415780,9,900,6
1433452,9,1156,6
1452176,36,361,6
1470884,4,961,6
1488568,25,1024,6
1508332,81,484,6
1527060,1,900,6
1544744,121,169,6
1564492,0,289,6
1582180,25,529,6
1600904,0,169,6
1618580,36,2025,6
1638336,121,1444,6
1659140,100,625,6
1678892,196,676,6
1698648,289,1849,6
1719464,144,1369,6
1740252,9,1521,6
1758980,0,2025,6
1777700,25,256,6
1796420,25,100,6
1815140,0,324,6
1832824,0,16,6
1849460,16,256,6
1868188,4,16,6
1884820,36,784,6
1903520,0,121,6
1921220,49,0,6
1937860,25,4,6
1954500,4,121,6
1972168,0,1,6
1987776,49,100,6
2006500,36,25,6
2024180,25,196,6
2042896,16,1369,6
2062668,0,49,6
2079296,16,49,6
2096980,4,484,6
2114668,64,625,6
2133384,49,441,6
2152100,9,64,6
2168736,16,361,6
2187460,4,256,6
2205140,64,169,6
2223856,1,1369,6
2242584,9,3364,6
2261292,49,5776,6
2281048,121,3600,6
2301852,121,400,6
2321624,121,81,6
2340340,9,64,6
2356968,0,784,6
2374652,0,729,6
2392340,9,676,6
2410024,36,36,6
2427692,169,1089,6
2448496,9,1681,6
2467228,121,49,6
2485940,36,400,6
2504644,1,289,6
2522348,1,64,6
2538980,36,25,6
2556648,16,1024,6
2576420,0,729,6
2594112,81,121,6
2612816,81,576,6
2631536,64,1156,6
2651296,100,961,6
2671060,16,729,6
2689776,4,576,6
2707452,16,49,6
2725148,25,289,6
2743860,0,961,6
2761536,4,0,6
2777140,36,676,6
2795860,144,121,6
2815616,25,900,6
2834332,25,676,6
2853064,16,400,6
2871772,1,64,6
2888420,16,16,6
2906092,121,16,6
2924824,1,4,6
2940408,16,121,6
2959132,9,400,6
2976812,1,2704,6
2995548,1,1225,6
3014264,81,196,6
3032984,25,324,6
3051708,1,144,6
3069376,25,121,6
3088092,16,100,6
3106812,36,256,6
3125544,1,9,6
3141156,1,1,6
3156732,0,25,6
3173384,4,1,6
3188988,4,100,6
3206656,4,121,6
3224340,0,9,6
3239932,9,25,6
3256576,4,100,6
3274264,16,64,6
3291940,36,16,6
3309628,16,196,6
3328348,4,36,6
3344976,25,16,6
3362656,9,361,6
3380336,49,676,6
3399068,36,36,6
3416740,0,121,6
3434416,0,49,6
3451076,4,676,6
3468740,121,169,6
3488508,25,16,6
3506172,25,121,6
3524904,4,576,6
3542588,1,144,6
3560268,1,0,6
3575860,9,0,6
3591468,1,225,6
3609132,36,900,6
3627852,25,1936,6
3647604,36,1444,6
3667380,169,81,6
3686100,49,25,6
3703764,4,121,6
3721464,9,1,6
3737068,16,81,6
3754736,0,729,6
3772424,64,1225,6
3792176,144,729,6
3811936,64,9,6
3828576,9,441,6
3846272,4,121,6
3863940,36,144,6
3882660,1,361,6
3900320,121,225,6
3920104,16,361,6
3938812,0,144,6
3956504,49,9,6
3973140,9,0,6
3988748,36,121,6
4007464,1,196,6
4025136,64,361,6
4043864,36,25,6
4061540,36,64,6
4079220,1,16,6
4095860,16,0,6
4112496,0,81,6
4129148,25,256,6
4147856,36,225,6
4166580,16,529,6
4185300,9,289,6
4202988,9,36,6
4219620,0,100,6
4237296,1,169,6
4254976,9,484,6
4272672,1,961,6
4290332,0,900,6
