Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53872,9216,2916,6
56096,441,144,6
58244,64,256,6
60684,289,400,6
78368,441,225,6
96028,9,441,6
111632,64,0,6
127236,100,100,6
145964,4,256,6
162592,64,361,6
180268,4,6724,6
197948,64,4489,6
216668,1024,81,6
235388,324,2116,6
255156,49,4624,6
273860,100,256,6
292584,121,196,6
311312,9,49,6
326904,1,2809,6
344592,0,23104,6
363304,361,25281,6
384116,1521,2809,6
404904,441,289,6
423628,9,1681,6
441288,169,12544,6
462120,529,2116,6
481884,256,36,6
499544,1,5184,6
517228,576,7569,6
536988,1089,2025,6
557780,225,225,6
576500,576,1936,6
596276,81,2704,6
615008,961,1089,6
634744,484,49,6
652428,9,4225,6
670128,25,5929,6
688828,4,1849,6
706512,81,1,6
722112,9,3600,6
739784,1,7056,6
757472,16,529,6
775136,144,144,6
793880,25,81,6
810528,16,0,6
826120,16,121,6
843804,25,576,6
861480,4,2304,6
879152,64,1,6
894752,9,2601,6
912448,64,729,6
930128,9,144,6
946744,25,729,6
964432,16,16,6
981064,64,9216,6
999792,4,14884,6
1018520,900,3481,6
1039292,784,16,6
1058036,4,1849,6
1076748,1,1521,6
1095476,25,784,6
1114196,121,36,6
1132916,0,49,6
1149544,169,2704,6
1170352,0,4096,6
1189080,400,121,6
1208828,64,49,6
1226504,4,529,6
1244204,121,100,6
1263960,121,144,6
1283728,4,169,6
1301392,9,49,6
1318032,49,961,6
1336760,4,400,6
1354436,9,841,6
1372108,16,2209,6
1391880,9,81,6
1408508,1,3249,6
1427224,81,196,6
1445948,25,4624,6
1465712,81,1156,6
1485476,36,1296,6
1505212,81,7225,6
1525000,169,2601,6
1545784,196,2809,6
1566580,100,9025,6
1587388,225,8464,6
1608172,529,8100,6
1629000,361,5329,6
1649792,289,1600,6
1670580,144,49,6
1689320,9,1764,6
1708024,0,1521,6
1726760,9,169,6
1744440,0,289,6
1762100,36,0,6
1778748,4,529,6
1796432,1,676,6
1814116,64,1296,6
1833876,484,361,6
1853628,144,2025,6
1874436,25,1444,6
1894192,225,4,6
1911868,1,361,6
1929568,121,0,6
1947232,4,196,6
1964900,0,3249,6
1983632,36,6400,6
2003388,361,1,6
2021072,81,25,6
2038728,16,1764,6
2058512,25,25,6
2076204,9,324,6
2093864,169,2025,6
2114676,9,3600,6
2133400,64,484,6
2152104,196,196,6
2171856,121,361,6
2191632,81,1089,6
2211396,100,7396,6
2232180,144,2209,6
2252992,81,196,6
2271704,81,2601,6
2291452,1,9025,6
2310184,400,6084,6
2330996,484,484,6
2350748,9,0,6
2366368,1,361,6
2384044,64,16,6
2401716,4,961,6
2419392,9,2209,6
2438100,81,2401,6
2457872,49,4,6
2474524,1,16,6
2491156,0,49,6
2507784,36,1444,6
2527556,16,9,6
2544188,324,3364,6
2564984,1,2704,6
2583708,144,81,6
2602428,100,49,6
2621152,289,81,6
2639872,49,576,6
2658616,169,36,6
2677316,36,1024,6
2697072,1,1225,6
2715800,144,0,6
2733472,196,361,6
2753232,4,169,6
2770908,16,2401,6
2790664,144,5041,6
2811464,36,11664,6
2832260,144,8100,6
2853060,900,1024,6
2873864,64,10404,6
2894648,484,6400,6
2915480,100,1849,6
2936276,25,196,6
2955004,289,4,6
2972668,1,1156,6
2991384,169,2500,6
3012208,36,289,6
3030920,0,169,6
3048596,9,2304,6
3067300,0,1,6
3082892,25,1369,6
3102656,25,784,6
3121388,4,324,6
3139068,81,1936,6
3158816,25,4900,6
3178588,100,1521,6
3199396,4,1296,6
3218104,36,3721,6
3237868,16,529,6
3256584,100,529,6
3276348,4,1936,6
3295072,36,961,6
3313788,144,2500,6
3334584,225,1,6
3352252,121,0,6
3369936,9,4,6
3385548,16,1296,6
3405304,25,225,6
3424024,49,0,6
3440668,1,3025,6
3459400,9,576,6
3477068,169,256,6
3496832,0,9,6
3512436,36,144,6
3531152,144,0,6
3548832,25,361,6
3567536,49,1296,6
3587320,0,1296,6
3606032,64,3249,6
3625788,121,1764,6
3646596,81,4,6
3663228,9,196,6
3680912,16,0,6
3697536,64,1156,6
3717324,25,0,6
3733944,36,841,6
3752676,121,2916,6
3773464,169,841,6
3793232,64,169,6
3811948,4,4,6
3827532,25,900,6
3846260,0,1681,6
3864988,100,576,6
3884748,36,2704,6
3904496,81,400,6
3923240,36,441,6
3941952,16,400,6
3960684,1,169,6
3978364,1,289,6
3996028,64,1024,6
4015792,0,4,6
4031392,25,961,6
4050112,0,676,6
4067796,49,225,6
4086500,100,1521,6
4107308,81,900,6
4126040,169,324,6
4145792,16,400,6
4164504,16,441,6
4183240,16,49,6
4200912,4,400,6
4218588,4,1024,6
4237324,25,100,6
4256036,16,16,6
4273704,36,3249,6
4293484,16,1600,6
4313220,361,1089,6
4334032,100,256,6
4353792,64,36,6
4371476,4,361,6
4389172,1,121,6
4406836,16,9,6
4423468,16,576,6
4442188,0,841,6
4459884,49,4,6
4476508,49,2304,6
4496276,1,3136,6
4514988,49,25,6
4532664,9,3481,6
4551384,49,4900,6
4571160,144,1600,6
4591960,36,16,6
4609628,0,441,6
4627320,1,729,6
4644996,49,289,6
4663716,49,4,6
4680360,4,441,6
4698024,0,625,6
4715712,36,144,6
4734428,25,64,6
