Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53872,9025,3249,1
56092,441,196,1
58224,81,121,1
60680,361,441,1
78364,289,81,1
94996,1,49,1
109536,144,121,1
128280,81,4,1
143880,1,121,1
160524,81,16,1
177160,0,4,1
191712,81,64,1
208344,9,9,1
222916,1,25,1
238508,36,0,1
254120,1,4,1
268676,16,9,1
284264,4,0,1
298832,4,9,1
313400,9,4,1
327956,0,1,1
342516,9,1,1
357068,0,25,1
372660,1,0,1
387240,1,25,1
402836,0,1,1
417392,0,25,1
433000,1,1,1
447564,1,16,1
463160,0,1,1
477716,0,4,1
492264,0,4,1
506820,0,4,1
521400,0,4,1
535960,0,16,1
551556,0,0,1
566108,0,0,1
580688,4,1,1
595240,0,1,1
609784,0,0,1
624344,0,1,1
638900,0,0,1
653484,0,4,1
668036,0,4,1
682588,0,4,1
697156,1,1,1
711716,0,4,1
726276,0,25,1
741872,0,1,1
756432,1,4,1
770988,0,0,1
785568,1,1,1
800116,0,0,1
814676,0,4,1
829228,0,1,1
843800,0,4,1
858364,0,0,1
872908,0,4,1
887476,1,1,1
902028,0,4,1
916596,1,36,1
932208,9,4,1
946748,16,1,1
962356,36,1,1
977968,9,4,1
992516,0,0,1
1007064,0,0,1
1022676,1,4,1
1038272,0,4,1
1053876,0,1,1
1069472,0,0,1
1085068,0,4,1
1100664,4,0,1
1116280,1,9,1
1131872,0,0,1
1147468,1,1,1
1163076,1,1,1
1178680,0,4,1
1194276,0,0,1
1209880,0,0,1
1225468,0,9,1
1241072,1,1,1
1256680,1,9,1
1272276,25,0,1
1288920,4,1,1
1304508,1,0,1
1320124,1,1,1
1335716,0,4,1
1351308,0,4,1
1366916,0,4,1
1382512,0,0,1
1398116,0,0,1
1413720,0,4,1
1429320,1,1,1
1444912,1,9,1
1460512,0,0,1
1476120,0,9,1
1491708,0,0,1
1507304,0,4,1
1522916,1,0,1
1538516,0,0,1
1554116,1,1,1
1569712,4,1,1
1585320,4,9,1
1600912,1,0,1
1616508,1,1,1
1632116,1,0,1
1647716,0,0,1
1663320,0,1,1
1678912,1,0,1
1694520,0,16,1
1711160,1,0,1
1726756,0,4,1
1742356,0,0,1
1757952,0,0,1
1773544,0,1,1
1789156,0,0,1
1804756,1,0,1
1820360,4,1,1
1835944,0,1,1
1851556,0,0,1
1867152,1,0,1
1882756,1,4,1
1898352,0,1,1
1913956,0,4,1
1929552,1,0,1
1945148,0,4,1
1960756,1,0,1
1976356,0,1,1
1991960,0,1,1
2007560,1,1,1
2023148,0,1,1
2038752,1,0,1
2054356,0,4,1
2069952,0,0,1
2085556,0,0,1
2101152,0,4,1
2116760,1,4,1
2132356,1,1,1
2147948,0,0,1
2163560,1,1,1
2179168,1,16,1
2195812,1,36,1
2212440,4,1,1
2228028,1,1,1
2243636,0,9,1
2259244,1,0,1
2274840,0,9,1
2290440,1,0,1
2306024,0,0,1
2321640,0,0,1
2337240,1,1,1
2352840,0,16,1
2369472,4,0,1
2385076,0,1,1
2400676,0,1,1
2416268,0,9,1
2431876,1,0,1
2447476,0,0,1
2463076,0,1,1
