Timestamp,Sensor1,Sensor2
20:06:25,11881, 3600
20:06:25,11025, 1369
20:06:25,900, 4
20:06:25,324, 169
20:06:25,225, 529
20:06:25,784, 1
20:06:25,4, 49
20:06:25,441, 49
20:06:25,1521, 196
20:06:25,841, 676
20:06:25,484, 64
20:06:25,256, 196
20:06:25,9, 256
20:06:25,100, 225
20:06:25,676, 1369
20:06:25,100, 36
20:06:25,81, 11236
20:06:25,16, 9409
20:06:25,400, 1600
20:06:25,324, 400
20:06:25,625, 1936
20:06:25,400, 1849
20:06:25,81, 196
20:06:25,1, 289
20:06:25,400, 484
20:06:25,36, 289
20:06:25,9, 100
20:06:25,1, 9
20:06:25,0, 484
20:06:25,49, 361
20:06:25,9, 81
20:06:25,4, 9
20:06:25,25, 169
20:06:25,16, 9
20:06:25,1, 1444
20:06:25,9, 2025
20:06:25,1, 576
20:06:25,25, 81
20:06:25,36, 1
20:06:25,0, 1
20:06:25,16, 100
20:06:25,64, 1024
20:06:25,4, 1369
20:06:25,36, 900
20:06:25,81, 25
20:06:25,144, 576
20:06:25,9, 1
20:06:25,9, 1
20:06:25,0, 1089
20:06:25,121, 1024
20:06:25,289, 361
20:06:25,1, 961
20:06:25,49, 1
20:06:25,16, 361
20:06:25,25, 169
20:06:25,4, 900
20:06:25,4, 2809
20:06:25,100, 1444
20:06:25,100, 961
20:06:25,100, 625
20:06:25,144, 361
20:06:25,81, 324
20:06:25,0, 196
20:06:25,9, 64
20:06:25,25, 256
20:06:25,81, 169
20:06:25,121, 36
20:06:25,36, 16
20:06:25,16, 16
20:06:25,64, 25
20:06:25,225, 36
20:06:25,225, 9
20:06:25,25, 625
20:06:25,256, 324
20:06:25,576, 484
20:06:25,361, 2116
20:06:25,324, 676
20:06:25,1, 25
20:06:25,196, 361
20:06:25,121, 16
20:06:25,0, 121
20:06:25,9, 36
20:06:25,81, 4
20:06:25,81, 16
20:06:25,121, 9
20:06:25,9, 484
20:06:25,225, 2116
20:06:25,4, 2809
20:06:25,225, 400
20:06:25,121, 16
20:06:25,64, 9
20:06:25,144, 81
20:06:25,9, 100
20:06:26,49, 25
20:06:26,144, 361
20:06:26,4, 1369
20:06:26,4, 784
20:06:26,49, 576
20:06:26,49, 121
20:06:26,36, 100
20:06:26,25, 256
20:06:26,16, 441
20:06:26,1, 841
20:06:26,36, 400
20:06:26,49, 25
20:06:26,1, 4
20:06:26,49, 100
20:06:26,121, 529
20:06:26,49, 4
20:06:26,4, 1521
20:06:26,256, 1764
20:06:26,576, 256
20:06:26,196, 1
20:06:26,16, 676
20:06:26,0, 1225
20:06:26,0, 121
20:06:26,0, 0
20:06:26,1, 121
20:06:26,64, 49
20:06:26,64, 0
20:06:26,9, 16
20:06:26,1, 9
20:06:26,1, 81
20:06:26,16, 144
20:06:26,25, 441
20:06:26,64, 441
20:06:26,484, 4
20:06:26,16, 196
20:06:26,64, 25
20:06:26,4, 64
20:06:26,49, 169
20:06:26,9, 81
20:06:26,9, 0
20:06:26,289, 64
20:06:26,400, 16
20:06:26,324, 0
20:06:26,100, 4
20:06:26,121, 676
20:06:26,100, 784
20:06:26,9, 16
20:06:26,25, 169
20:06:26,100, 4
20:06:26,1, 25
20:06:26,16, 4
20:06:26,9, 144
20:06:26,9, 361
20:06:26,1, 441
20:06:26,25, 676
20:06:26,16, 529
20:06:26,25, 81
20:06:26,81, 64
20:06:26,25, 1600
20:06:26,4, 2809
20:06:26,81, 441
20:06:26,81, 25
20:06:26,0, 169
20:06:26,25, 529
20:06:26,16, 324
20:06:26,16, 1521
20:06:26,484, 100
20:06:26,324, 441
20:06:26,0, 324
20:06:26,0, 16
20:06:26,9, 1089
20:06:26,16, 2304
20:06:26,169, 144
20:06:26,49, 676
20:06:26,81, 1024
20:06:26,100, 64
20:06:26,16, 2601
20:06:26,64, 1296
20:06:26,4, 36
20:06:26,0, 81
20:06:26,0, 1156
20:06:26,4, 169
20:06:26,16, 1849
20:06:26,64, 1444
20:06:26,169, 900
20:06:26,9, 5476
20:06:26,361, 1369
20:06:26,324, 4
20:06:26,64, 16
20:06:26,36, 64
20:06:26,49, 144
20:06:26,9, 400
20:06:26,4, 4
20:06:26,1, 1156
20:06:26,225, 2304
20:06:26,400, 1681
20:06:26,49, 16384
20:06:26,144, 6724
20:06:26,324, 225
20:06:26,225, 1600
20:06:26,169, 2916
20:06:26,81, 100
20:06:26,400, 576
20:06:26,0, 625
20:06:26,100, 441
20:06:26,16, 784
20:06:26,144, 49
20:06:26,256, 1681
20:06:26,25, 144
20:06:26,49, 841
20:06:27,64, 49
20:06:27,4, 25
20:06:27,9, 1849
20:06:27,9, 441
20:06:27,16, 576
20:06:27,484, 484
20:06:27,64, 49
20:06:27,144, 961
20:06:27,4, 1764
20:06:27,196, 289
20:06:27,25, 121
20:06:27,576, 900
20:06:27,1369, 2304
20:06:27,484, 961
20:06:27,324, 81
20:06:27,64, 1024
20:06:27,256, 49
20:06:27,676, 1764
20:06:27,4, 1296
20:06:27,676, 900
20:06:27,36, 4096
20:06:27,100, 1369
