Timestamp,,Sensor1,Sensor2,,,,
50:50.0,0.296,7569,9216,,,,
50:50.0,0.304,1764,3969,,,,
18:50:50,0.312,900,81,,,,
18:50:50,0.32,1369,256,,,,
18:50:50,0.328,7569,144,,,,
18:50:50,0.336,529,256,,,,
18:50:50,0.344,121,64,,,,
18:50:50,0.352,784,121,,,,
18:50:50,0.36,729,1,,,,
18:50:50,0.368,1024,64,,,,
18:50:50,0.376,676,4,,,,
18:50:50,0.384,1444,81,,,,
18:50:50,0.392,1024,0,,,,
18:50:50,0.4,900,1,,,,
18:50:50,0.408,2304,49,,,,
18:50:50,0.416,400,225,,,,
18:50:50,0.424,1,16,,,,
18:50:50,0.432,1,100,,,,
18:50:50,0.44,0,4,,,,
18:50:50,0.448,1024,81,,,,
18:50:50,0.456,1296,121,,,,
18:50:50,0.464,9,25,,,,
18:50:50,0.472,36,1,,,,
18:50:50,0.48,0,1,,,,
18:50:50,0.488,4,25,,,,
18:50:50,0.496,121,9,,,,
18:50:50,0.504,25,4,,,,
18:50:50,0.512,36,16,,,,
18:50:50,0.52,0,36,,,,
18:50:50,0.528,9,64,,,,
18:50:50,0.536,324,144,,,,
18:50:50,0.544,81,100,,,,
18:50:50,0.552,49,36,,,,
18:50:50,0.56,49,25,,,,
18:50:50,0.568,16,1,,,,
18:50:50,0.576,25,4,,,,
18:50:50,0.584,4,0,,,,
18:50:50,0.592,25,0,,,,
18:50:50,0.6,25,0,,,,
18:50:50,0.608,225,16,,,,
18:50:50,0.616,289,121,,,,
18:50:50,0.624,49,121,,,,
18:50:50,0.632,9,9,,,,
18:50:50,0.64,0,1,,,,
18:50:50,0.648,121,4,,,,
18:50:50,0.656,49,16,,,,
18:50:50,0.664,64,1,,,,
18:50:50,0.672,4,1,,,,
18:50:50,0.68,289,49,,,,
18:50:50,0.688,25,169,,,,
18:50:50,0.696,676,81,,,,
18:50:50,0.704,81,4,,,,
18:50:50,0.712,256,25,,,,
18:50:50,0.72,784,169,,,,
18:50:50,0.728,576,225,,,,
18:50:50,0.736,361,4,,,,
18:50:50,0.744,25,144,,,,
18:50:50,0.752,169,9,,,,
18:50:50,0.76,1,9,,,,
18:50:50,0.768,9,4,,,,
18:50:50,0.776,2025,49,,,,
18:50:50,0.784,1089,841,,,,
18:50:50,0.792,1024,64,,,,
18:50:50,0.8,225,169,,,,
18:50:50,0.808,121,64,,,,
